job_id,receiver,seed,k_shot,new_class_count,candidate,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1,pipeline_receipt_sha256,score_sha256
rx_3_19__seed_713105__k_1__new_20,3-19,713105,1,20,d81_ground_nuisance_cauchy_center,0.4888888888888889,0.2777777777777778,0.2,0.06666666666666667,0.12666666666666668,0.17399267399267399,0.21111111111111108,-0.21111111111111108,MISSING_NOT_RUN,,,c149fe01bdf09e3aa40620c4ebb045a2be517629a8c7351bdabb2255bed869a4,76590a3cfac09bcc3c12811fc64fae8e16bf12ba1cf558794523c2d91077ddfe
rx_3_19__seed_713106__k_10__new_5,3-19,713106,10,5,d81_ground_nuisance_cauchy_center,0.7472222222222222,0.6194444444444445,0.5333333333333333,0.3,0.44333333333333336,0.5167973514549573,0.12777777777777777,-0.12777777777777777,MISSING_NOT_RUN,,,ad1d5702c3d22c4ef2d5b20c775f412ec350b24fdacbf92db1775a7f00bd7817,3f76ac34c0a8b69e8dfd599d48f63808386cb5183a3944a64555056c3ef9c393
rx_3_19__seed_713106__k_10__new_10,3-19,713106,10,10,d81_ground_nuisance_cauchy_center,0.7472222222222222,0.575,0.5333333333333333,0.25,0.44,0.4985221674876848,0.17222222222222228,-0.17222222222222228,MISSING_NOT_RUN,,,3f45211e7f9d8ab1737f118263f37652f7e19ff554f7f807e1b4b5add333c150,637c4c610253ae6cea7a9551889b99690631e1cee7569deac0d9202cee825362
rx_3_19__seed_713106__k_10__new_20,3-19,713106,10,20,d81_ground_nuisance_cauchy_center,0.7472222222222222,0.55,0.5333333333333333,0.2,0.49583333333333335,0.5215139442231076,0.1972222222222222,-0.1972222222222222,MISSING_NOT_RUN,,,46fd4a9f8d9980f7670d3e2e2d1c1a2e508ec94143589e216a5d14f3abaf1f6f,4fb6e65eae9d92a4ac181e5aa6d395f85d1d202e28c74c2f2f58bf366fd45efa
rx_3_19__seed_713106__k_5__new_20,3-19,713106,5,20,d81_ground_nuisance_cauchy_center,0.6472222222222223,0.5111111111111111,0.35,0.13333333333333333,0.3616666666666667,0.42359431360067895,0.13611111111111118,-0.13611111111111118,MISSING_NOT_RUN,,,c08661478d3141ccbc927d8b2dca0e09ae11b529d030f4d780bb116a115f8aba,a79c8bc92a7c49c06f200f8a155a44a6f197e596cde1514f7cfa8c161c6d2f28
rx_3_19__seed_713106__k_1__new_20,3-19,713106,1,20,d81_ground_nuisance_cauchy_center,0.4777777777777778,0.29444444444444445,0.25,0.06666666666666667,0.13833333333333334,0.18823277706461275,0.18333333333333335,-0.18333333333333335,MISSING_NOT_RUN,,,cdda39aa53610f7ba98a52b6b7ecd142ba10b85e99d102f4d00ed48c025193c4,b8bcebd78dbe1636dc4e028b454b0bc51ecd8b643b7155d5cfb228084a46161f
rx_7_14__seed_713102__k_10__new_5,7-14,713102,10,5,d81_ground_nuisance_cauchy_center,0.8638888888888889,0.7361111111111112,0.5333333333333333,0.5166666666666667,0.84,0.784631653154741,0.12777777777777777,-0.12777777777777777,MISSING_NOT_RUN,,,c4453368dc3d7d6f085e54c665d0f1b3d7d2aa4f302f2b64dade6288f978aa26,b0c5aed5e07a1a38ea8159f94acfc7259cd00bba38382fc158a6762a3e0dd1f2
rx_7_14__seed_713102__k_10__new_10,7-14,713102,10,10,d81_ground_nuisance_cauchy_center,0.8638888888888889,0.6944444444444444,0.5333333333333333,0.38333333333333336,0.7116666666666667,0.7029500856051627,0.1694444444444445,-0.1694444444444445,MISSING_NOT_RUN,,,367e7fdd7dbc13fc448e1d3779333f8e6edf8c8042cef8a8a49472e38c6d1d5d,b2c42b7605738e84245ae9e60b89270754e04591a27da7de332297b10b10415a
rx_7_14__seed_713102__k_10__new_20,7-14,713102,10,20,d81_ground_nuisance_cauchy_center,0.8638888888888889,0.6583333333333333,0.5333333333333333,0.35,0.7208333333333333,0.6881671701913393,0.2055555555555556,-0.2055555555555556,MISSING_NOT_RUN,,,ea74b849878e2c6db08bbaa3064c97e9c25208afd73691ac4febac7186bf1116,b31a1fd1f60bf7a5f06ea0b3cf1289620abe94e8f6947aa14030efc59b3e4d9d
rx_7_14__seed_713102__k_5__new_20,7-14,713102,5,20,d81_ground_nuisance_cauchy_center,0.8444444444444444,0.6055555555555555,0.6,0.18333333333333332,0.64,0.6223015165031222,0.23888888888888893,-0.23888888888888893,MISSING_NOT_RUN,,,acd00f336ed6d0413a98e7b2e0051c5e208222ee598ae9988166a54d60d29163,634af21b2d09c82da60bf92eb43f458ef04054e8da60ecdbdad40cfe61f69a37
