job_id,receiver,seed,k_shot,new_class_count,scenario,b_old_acc,c_old_acc,b_old_floor,c_old_floor,seen_new_acc,h_old_new,average_forgetting,old_adaptation_gain,direct_adv3b02_status,direct_adv3b02_old_acc,delta_vs_direct_ADV3B02_K1
rx_3_19__seed_713103__k_10__new_5,3-19,713103,10,5,leo_rain_weak,0.6916666666666667,0.5666666666666667,0.35,0.15,0.42,0.48243243243243245,0.125,-0.125,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_10,3-19,713103,10,10,leo_clear_weak,0.8083333333333333,0.6833333333333333,0.55,0.25,0.475,0.5604316546762591,0.125,-0.125,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_10,3-19,713103,10,10,leo_low_elev_weak,0.7833333333333333,0.5333333333333333,0.55,0.2,0.475,0.5024793388429751,0.25,-0.25,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_10,3-19,713103,10,10,leo_rain_weak,0.6916666666666667,0.525,0.35,0.2,0.37,0.4340782122905028,0.16666666666666663,-0.16666666666666663,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_20,3-19,713103,10,20,leo_clear_weak,0.8083333333333333,0.675,0.55,0.2,0.4975,0.5728144989339019,0.1333333333333333,-0.1333333333333333,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_20,3-19,713103,10,20,leo_low_elev_weak,0.7833333333333333,0.55,0.55,0.2,0.5525,0.5512471655328798,0.23333333333333328,-0.23333333333333328,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_10__new_20,3-19,713103,10,20,leo_rain_weak,0.6916666666666667,0.5416666666666666,0.35,0.15,0.435,0.4825085324232082,0.15000000000000002,-0.15000000000000002,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_5__new_20,3-19,713103,5,20,leo_clear_weak,0.7833333333333333,0.5916666666666667,0.45,0.2,0.4,0.4773109243697479,0.19166666666666665,-0.19166666666666665,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_5__new_20,3-19,713103,5,20,leo_low_elev_weak,0.7583333333333333,0.5416666666666666,0.5,0.15,0.405,0.4634683098591549,0.21666666666666667,-0.21666666666666667,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_5__new_20,3-19,713103,5,20,leo_rain_weak,0.5833333333333334,0.43333333333333335,0.15,0.05,0.36,0.39327731092436974,0.15000000000000002,-0.15000000000000002,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_1__new_20,3-19,713103,1,20,leo_clear_weak,0.5083333333333333,0.2916666666666667,0.05,0.0,0.205,0.24077181208053688,0.21666666666666662,-0.21666666666666662,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_1__new_20,3-19,713103,1,20,leo_low_elev_weak,0.5416666666666666,0.39166666666666666,0.15,0.0,0.15,0.2169230769230769,0.14999999999999997,-0.14999999999999997,MISSING_NOT_RUN,,
rx_3_19__seed_713103__k_1__new_20,3-19,713103,1,20,leo_rain_weak,0.43333333333333335,0.26666666666666666,0.0,0.0,0.1175,0.1631236442516269,0.16666666666666669,-0.16666666666666669,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_5,3-19,713104,10,5,leo_clear_weak,0.7583333333333333,0.65,0.55,0.45,0.42,0.5102803738317757,0.10833333333333328,-0.10833333333333328,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_5,3-19,713104,10,5,leo_low_elev_weak,0.7666666666666667,0.6333333333333333,0.55,0.25,0.33,0.4339100346020761,0.13333333333333341,-0.13333333333333341,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_5,3-19,713104,10,5,leo_rain_weak,0.675,0.625,0.35,0.35,0.44,0.5164319248826291,0.050000000000000044,-0.050000000000000044,MISSING_NOT_RUN,,
rx_3_19__seed_713104__k_10__new_10,3-19,713104,10,10,leo_clear_weak,0.7583333333333333,0.6583333333333333,0.55,0.45,0.43,0.5202143950995406,0.09999999999999998,-0.09999999999999998,MISSING_NOT_RUN,,
