method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,cell_receipt_sha256,old_acc_before_increment_mean_3scenarios,old_acc_after_increment_mean_3scenarios,seen_new_acc_mean_3scenarios,H_old_new_mean_3scenarios,candidate_average_forgetting_mean_3scenarios,min_old_class_acc_mean_3scenarios,direct_adv3b02_old_acc_mean_3scenarios,identity_old_acc_after_increment_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713104__new_1__csil_official_repo__k_20,20-1,713104,1,20,3,c9a6ceb4f4553df9251727cac766d0207574fa58f0a021eed406595c479067ba,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.9027777777777778
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_1,20-1,713104,3,1,3,9d425c0eae1bfc0a290545e6db7f5de97efea44abe9b8c51a8a7f294f0bccadf,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.6944444444444443
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_5,20-1,713104,3,5,3,a42cf3c68bb8119609cbfd132cd6d4c2994b6fa5a902f7261ba423b3750b9159,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.8944444444444445
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_10,20-1,713104,3,10,3,5c5750609104dfd45f93cbfb97a58a4e9db131fe722a0b9e54a9c627f2cfdd83,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.9027777777777778
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_20,20-1,713104,3,20,3,0f49a2d3af376a86cbf8ca44980087c73ff9c9dc7dfb7abe85401eafcd165850,0.8166666666666668,0.0,0.3333333333333333,0.0,0.8166666666666668,0.0,0.7333333333333333,0.9027777777777778
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_1,20-1,713104,20,1,3,898a62b6b05de98a2bdd628eecf7f0e7c036318a4a7436d58f9a6a6d9e2d29f1,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.4000000000000001,0.7333333333333333,0.5888888888888889
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_5,20-1,713104,20,5,3,937ee67bcbb0aecbbb6ff31afb323398b88bd178e632396bdba0d032e470ca5a,0.8166666666666668,0.0,0.050833333333333335,0.0,0.8166666666666668,0.0,0.7333333333333333,0.8638888888888889
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_10,20-1,713104,20,10,3,24e4f22562107cd75ed6c30ecc0815aa80c8f5b02a6325256d0ce795658cf627,0.8166666666666668,0.030555555555555555,0.05000000000000001,0.01935817805383023,0.7861111111111111,0.0,0.7333333333333333,0.8638888888888889
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_20,20-1,713104,20,20,3,4e243af017683225b151e608067a5bd69b08e650047f7735864850063fc7e340,0.8166666666666668,0.48333333333333334,0.050833333333333335,0.09140039288617681,0.3333333333333333,0.0,0.7333333333333333,0.8861111111111111
CSIL,csil_official_repo,rx_20_1__seed_713105__new_1__csil_official_repo__k_1,20-1,713105,1,1,3,d11ee33a3a9f78a81e6c56e757e9c73486d6f1749a63e7e2c795c51981e90c0e,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.8444444444444444
CSIL,csil_official_repo,rx_20_1__seed_713105__new_1__csil_official_repo__k_5,20-1,713105,1,5,3,f6f2cb7d1ef6b686ddcf1390e85619343ce196d970d9a0fa2a2d2b36f204839b,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.5,0.7833333333333333,0.9
