k,target_new,target_unknown,old_acc,min_old,seen_new_acc,min_seen,known_vs_unknown_auroc,unknown_fpr95_known,known_avg,known_floor,joint_score
5,"10-10,11-10,2-13,3-8,8-3","18-5,19-3,2-5,4-10,8-18",0.7333333333333333,0.25,0.44,0.1,0.71,0.77,0.5866666666666667,0.1,0.22999999999999998
5,"10-10,11-10,2-13,4-10,8-18","18-5,19-3,2-5,3-8,8-3",0.7916666666666666,0.25,0.35,0.15,0.6284545454545455,0.86,0.5708333333333333,0.15,0.14
5,"10-10,11-10,2-13,4-10,8-3","18-5,19-3,2-5,3-8,8-18",0.7083333333333334,0.2,0.46,0.15,0.6742727272727272,0.76,0.5841666666666667,0.15,0.24
5,"10-10,11-10,2-13,8-18,8-3","18-5,19-3,2-5,3-8,4-10",0.725,0.25,0.47,0.15,0.6495454545454545,0.85,0.5974999999999999,0.15,0.15000000000000002
5,"10-10,11-10,2-5,3-8,4-10","18-5,19-3,2-13,8-18,8-3",0.8,0.25,0.37,0.2,0.6533636363636364,0.86,0.585,0.2,0.14
5,"10-10,11-10,2-5,3-8,8-18","18-5,19-3,2-13,4-10,8-3",0.8166666666666667,0.35,0.38,0.2,0.6254545454545455,0.91,0.5983333333333334,0.2,0.08999999999999997
5,"10-10,11-10,2-5,3-8,8-3","18-5,19-3,2-13,4-10,8-18",0.7333333333333333,0.25,0.49,0.2,0.6746363636363636,0.85,0.6116666666666666,0.2,0.15000000000000002
5,"10-10,11-10,2-5,4-10,8-18","18-5,19-3,2-13,3-8,8-3",0.7916666666666666,0.25,0.41,0.25,0.5846363636363636,0.95,0.6008333333333333,0.25,0.050000000000000044
5,"10-10,11-10,2-5,4-10,8-3","18-5,19-3,2-13,3-8,8-18",0.7083333333333334,0.2,0.5,0.25,0.6405454545454545,0.86,0.6041666666666667,0.2,0.14
5,"10-10,11-10,2-5,8-18,8-3","18-5,19-3,2-13,3-8,4-10",0.725,0.25,0.53,0.25,0.6140909090909091,0.91,0.6275,0.25,0.08999999999999997
5,"10-10,11-10,3-8,4-10,8-18","18-5,19-3,2-13,2-5,8-3",0.7916666666666666,0.25,0.38,0.2,0.6742272727272727,0.87,0.5858333333333333,0.2,0.13
5,"10-10,11-10,3-8,4-10,8-3","18-5,19-3,2-13,2-5,8-18",0.7083333333333334,0.2,0.49,0.2,0.7109090909090909,0.76,0.5991666666666666,0.2,0.24
5,"10-10,11-10,3-8,8-18,8-3","18-5,19-3,2-13,2-5,4-10",0.725,0.25,0.5,0.2,0.6876818181818182,0.86,0.6125,0.2,0.14
5,"10-10,11-10,4-10,8-18,8-3","18-5,19-3,2-13,2-5,3-8",0.7,0.2,0.53,0.25,0.6502727272727272,0.85,0.615,0.2,0.15000000000000002
5,"10-10,18-5,19-3,2-13,2-5","11-10,3-8,4-10,8-18,8-3",0.8,0.35,0.39,0.25,0.5555909090909091,0.94,0.595,0.25,0.06000000000000005
5,"10-10,18-5,19-3,2-13,3-8","11-10,2-5,4-10,8-18,8-3",0.8,0.35,0.35,0.2,0.6414090909090909,0.85,0.575,0.2,0.15000000000000002
5,"10-10,18-5,19-3,2-13,4-10","11-10,2-5,3-8,8-18,8-3",0.7833333333333333,0.25,0.36,0.2,0.6090909090909091,0.84,0.5716666666666667,0.2,0.16000000000000003
5,"10-10,18-5,19-3,2-13,8-18","11-10,2-5,3-8,4-10,8-3",0.7916666666666666,0.35,0.4,0.25,0.5772272727272727,0.9,0.5958333333333333,0.25,0.09999999999999998
5,"10-10,18-5,19-3,2-13,8-3","11-10,2-5,3-8,4-10,8-18",0.7083333333333334,0.1,0.51,0.25,0.6523636363636364,0.85,0.6091666666666666,0.1,0.15000000000000002
5,"10-10,18-5,19-3,2-5,3-8","11-10,2-13,4-10,8-18,8-3",0.8,0.35,0.34,0.2,0.6083636363636363,0.93,0.5700000000000001,0.2,0.06999999999999995
5,"10-10,18-5,19-3,2-5,4-10","11-10,2-13,3-8,8-18,8-3",0.7833333333333333,0.25,0.33,0.2,0.5799545454545455,0.91,0.5566666666666666,0.2,0.08999999999999997
5,"10-10,18-5,19-3,2-5,8-18","11-10,2-13,3-8,4-10,8-3",0.7916666666666666,0.35,0.37,0.25,0.5471363636363636,0.96,0.5808333333333333,0.25,0.040000000000000036
5,"10-10,18-5,19-3,2-5,8-3","11-10,2-13,3-8,4-10,8-18",0.7083333333333334,0.1,0.48,0.25,0.6307272727272727,0.92,0.5941666666666667,0.1,0.07999999999999996
5,"10-10,18-5,19-3,3-8,4-10","11-10,2-13,2-5,8-18,8-3",0.7833333333333333,0.25,0.32,0.2,0.6615,0.85,0.5516666666666666,0.2,0.15000000000000002
5,"10-10,18-5,19-3,3-8,8-18","11-10,2-13,2-5,4-10,8-3",0.7916666666666666,0.35,0.35,0.2,0.6318181818181818,0.9,0.5708333333333333,0.2,0.09999999999999998
5,"10-10,18-5,19-3,3-8,8-3","11-10,2-13,2-5,4-10,8-18",0.7083333333333334,0.1,0.46,0.2,0.6971363636363637,0.85,0.5841666666666667,0.1,0.15000000000000002
5,"10-10,18-5,19-3,4-10,8-18","11-10,2-13,2-5,3-8,8-3",0.775,0.25,0.34,0.2,0.6002272727272727,0.91,0.5575,0.2,0.08999999999999997
5,"10-10,18-5,19-3,4-10,8-3","11-10,2-13,2-5,3-8,8-18",0.6916666666666667,0.1,0.46,0.25,0.6710909090909091,0.83,0.5758333333333333,0.1,0.17000000000000004
5,"10-10,18-5,19-3,8-18,8-3","11-10,2-13,2-5,3-8,4-10",0.7,0.1,0.49,0.25,0.6433636363636364,0.9,0.595,0.1,0.09999999999999998
5,"10-10,18-5,2-13,2-5,3-8","11-10,19-3,4-10,8-18,8-3",0.825,0.35,0.33,0.2,0.6275454545454545,0.88,0.5775,0.2,0.12
5,"10-10,18-5,2-13,2-5,4-10","11-10,19-3,3-8,8-18,8-3",0.8,0.25,0.36,0.2,0.5920909090909091,0.93,0.5800000000000001,0.2,0.06999999999999995
5,"10-10,18-5,2-13,2-5,8-18","11-10,19-3,3-8,4-10,8-3",0.8166666666666667,0.35,0.38,0.25,0.5620909090909091,0.95,0.5983333333333334,0.25,0.050000000000000044
5,"10-10,18-5,2-13,2-5,8-3","11-10,19-3,3-8,4-10,8-18",0.7333333333333333,0.25,0.49,0.25,0.6165,0.9,0.6116666666666666,0.25,0.09999999999999998
5,"10-10,18-5,2-13,3-8,4-10","11-10,19-3,2-5,8-18,8-3",0.8,0.25,0.33,0.2,0.6789090909090909,0.8,0.5650000000000001,0.2,0.19999999999999996
5,"10-10,18-5,2-13,3-8,8-18","11-10,19-3,2-5,4-10,8-3",0.8166666666666667,0.35,0.34,0.2,0.6507727272727273,0.88,0.5783333333333334,0.2,0.12
5,"10-10,18-5,2-13,3-8,8-3","11-10,19-3,2-5,4-10,8-18",0.7333333333333333,0.25,0.45,0.2,0.6861818181818182,0.83,0.5916666666666667,0.2,0.17000000000000004
