run_id,method,seed,scene,scope,group,tx,count,accuracy_pct,macro_f1_pct,macro_recall_pct
V2_B_seed392005,V2_B,392005,clean,receiver_tx,7,4,4000,99.0,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,7,5,4000,82.39999999999999,,
V2_B_seed392005,V2_B,392005,clean,receiver,9,,24000,73.37083333333332,71.00039296179571,73.37083333333334
V2_B_seed392005,V2_B,392005,clean,receiver_tx,9,0,4000,82.875,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,9,1,4000,25.575,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,9,2,4000,93.35,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,9,3,4000,99.275,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,9,4,4000,99.95,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,9,5,4000,39.2,,
V2_B_seed392005,V2_B,392005,clean,receiver,10,,24000,85.35833333333333,84.5048056396545,85.35833333333332
V2_B_seed392005,V2_B,392005,clean,receiver_tx,10,0,4000,99.3,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,10,1,4000,51.125,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,10,2,4000,99.85000000000001,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,10,3,4000,61.975,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,10,4,4000,99.97500000000001,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,10,5,4000,99.925,,
V2_B_seed392005,V2_B,392005,clean,receiver,11,,24000,76.25416666666666,75.32389644020327,76.25416666666666
V2_B_seed392005,V2_B,392005,clean,receiver_tx,11,0,4000,76.125,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,11,1,4000,42.65,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,11,2,4000,39.5,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,11,3,4000,99.4,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,11,4,4000,99.97500000000001,,
V2_B_seed392005,V2_B,392005,clean,receiver_tx,11,5,4000,99.875,,
V2_B_seed392005,V2_B,392005,clean,day,0,,42000,73.80952380952381,72.50954488257744,73.80952380952381
V2_B_seed392005,V2_B,392005,clean,day_tx,0,0,7000,85.22857142857143,,
V2_B_seed392005,V2_B,392005,clean,day_tx,0,1,7000,26.314285714285713,,
V2_B_seed392005,V2_B,392005,clean,day_tx,0,2,7000,66.57142857142857,,
V2_B_seed392005,V2_B,392005,clean,day_tx,0,3,7000,73.31428571428572,,
V2_B_seed392005,V2_B,392005,clean,day_tx,0,4,7000,99.61428571428571,,
V2_B_seed392005,V2_B,392005,clean,day_tx,0,5,7000,91.81428571428572,,
V2_B_seed392005,V2_B,392005,clean,day,1,,42000,81.55,81.15524770471848,81.55
V2_B_seed392005,V2_B,392005,clean,day_tx,1,0,7000,93.25714285714287,,
V2_B_seed392005,V2_B,392005,clean,day_tx,1,1,7000,40.87142857142857,,
V2_B_seed392005,V2_B,392005,clean,day_tx,1,2,7000,92.88571428571429,,
V2_B_seed392005,V2_B,392005,clean,day_tx,1,3,7000,71.0,,
V2_B_seed392005,V2_B,392005,clean,day_tx,1,4,7000,99.77142857142857,,
V2_B_seed392005,V2_B,392005,clean,day_tx,1,5,7000,91.51428571428572,,
V2_B_seed392005,V2_B,392005,clean,day,2,,42000,74.05952380952381,73.65004933171181,74.05952380952381
V2_B_seed392005,V2_B,392005,clean,day_tx,2,0,7000,94.98571428571428,,
V2_B_seed392005,V2_B,392005,clean,day_tx,2,1,7000,27.34285714285714,,
V2_B_seed392005,V2_B,392005,clean,day_tx,2,2,7000,78.67142857142856,,
V2_B_seed392005,V2_B,392005,clean,day_tx,2,3,7000,63.57142857142857,,
V2_B_seed392005,V2_B,392005,clean,day_tx,2,4,7000,99.82857142857144,,
V2_B_seed392005,V2_B,392005,clean,day_tx,2,5,7000,79.95714285714286,,
V2_B_seed392005,V2_B,392005,clean,day,3,,42000,77.35714285714286,77.08740378200835,77.35714285714286
V2_B_seed392005,V2_B,392005,clean,day_tx,3,0,7000,75.9,,
V2_B_seed392005,V2_B,392005,clean,day_tx,3,1,7000,36.542857142857144,,
V2_B_seed392005,V2_B,392005,clean,day_tx,3,2,7000,75.14285714285714,,
V2_B_seed392005,V2_B,392005,clean,day_tx,3,3,7000,87.27142857142857,,
V2_B_seed392005,V2_B,392005,clean,day_tx,3,4,7000,99.95714285714286,,
V2_B_seed392005,V2_B,392005,clean,day_tx,3,5,7000,89.32857142857142,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall,all,,168000,65.23214285714286,65.23864951817912,65.23214285714286
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall_tx,all,0,28000,59.550000000000004,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall_tx,all,1,28000,34.11785714285715,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall_tx,all,2,28000,63.03928571428571,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall_tx,all,3,28000,57.675,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall_tx,all,4,28000,91.84285714285714,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,overall_tx,all,5,28000,85.16785714285714,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,0,,24000,75.39583333333333,74.94958109400062,75.39583333333333
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,0,0,4000,70.475,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,0,1,4000,37.85,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,0,2,4000,83.05,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,0,3,4000,82.35,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,0,4,4000,93.65,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,0,5,4000,85.0,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,2,,24000,48.3,48.76678665308923,48.300000000000004
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,2,0,4000,47.925000000000004,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,2,1,4000,6.875000000000001,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,2,2,4000,50.724999999999994,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,2,3,4000,9.775,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,2,4,4000,87.1,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,2,5,4000,87.4,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,5,,24000,73.23333333333333,72.4684529160193,73.23333333333333
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,5,0,4000,48.475,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,5,1,4000,37.775,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,5,2,4000,92.95,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,5,3,4000,64.825,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,5,4,4000,98.65,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,5,5,4000,96.72500000000001,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,7,,24000,52.737500000000004,54.01827933774369,52.737500000000004
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,7,0,4000,58.62500000000001,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,7,1,4000,43.875,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,7,2,4000,42.275,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,7,3,4000,25.3,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,7,4,4000,68.4,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,7,5,4000,77.95,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,9,,24000,70.52916666666667,68.43168254621082,70.52916666666667
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,9,0,4000,75.275,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,9,1,4000,19.125,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,9,2,4000,80.5,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,9,3,4000,94.475,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,9,4,4000,99.625,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,9,5,4000,54.175,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,10,,24000,72.29166666666667,71.42652785992505,72.29166666666667
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,10,0,4000,77.375,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,10,1,4000,49.975,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,10,2,4000,77.45,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,10,3,4000,33.550000000000004,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,10,4,4000,96.2,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,10,5,4000,99.2,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver,11,,24000,64.1375,59.54724628545218,64.1375
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,11,0,4000,38.7,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,11,1,4000,43.35,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,11,2,4000,14.325,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,11,3,4000,93.45,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,11,4,4000,99.275,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,receiver_tx,11,5,4000,95.72500000000001,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day,0,,42000,62.42619047619048,61.771249786177506,62.42619047619048
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,0,0,7000,59.62857142857143,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,0,1,7000,26.471428571428575,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,0,2,7000,51.82857142857142,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,0,3,7000,60.885714285714286,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,0,4,7000,89.35714285714286,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,0,5,7000,86.38571428571429,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day,1,,42000,67.26904761904761,67.45149678237796,67.26904761904761
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,1,0,7000,62.05714285714286,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,1,1,7000,39.65714285714286,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,1,2,7000,70.42857142857143,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,1,3,7000,56.10000000000001,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,1,4,7000,86.77142857142857,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,1,5,7000,88.6,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day,2,,42000,63.44047619047619,63.71979504619204,63.44047619047619
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,2,0,7000,61.042857142857144,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,2,1,7000,29.428571428571427,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,2,2,7000,65.07142857142857,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,2,3,7000,51.028571428571425,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,2,4,7000,96.54285714285714,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,2,5,7000,77.52857142857142,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day,3,,42000,67.79285714285714,67.8037961935483,67.79285714285713
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,3,0,7000,55.471428571428575,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,3,1,7000,40.91428571428571,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,3,2,7000,64.82857142857142,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,3,3,7000,62.68571428571429,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,3,4,7000,94.69999999999999,,
V2_B_seed392005,V2_B,392005,leo_clear_weak,day_tx,3,5,7000,88.15714285714286,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall,all,,168000,63.215476190476195,62.99442880535185,63.215476190476195
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall_tx,all,0,28000,57.31428571428572,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall_tx,all,1,28000,32.95357142857143,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall_tx,all,2,28000,60.8,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall_tx,all,3,28000,52.403571428571425,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall_tx,all,4,28000,90.125,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,overall_tx,all,5,28000,85.69642857142857,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,receiver,0,,24000,72.225,71.66683182014714,72.225
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,receiver_tx,0,0,4000,66.7,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,receiver_tx,0,1,4000,36.475,,
V2_B_seed392005,V2_B,392005,leo_low_elev_weak,receiver_tx,0,2,4000,82.775,,
