arm,method,scenario,receiver_idx,receiver_label,days,accuracy_pct,correct,total
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.625,18150,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",61.49583333333333,14759,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.35,20004,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.15,14916,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.12083333333334,17069,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",79.5,19080,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_low_elev_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.54583333333333,16931,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.8625,18207,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.175,14922,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.3125,19995,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.65833333333333,15038,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.72083333333333,17213,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.7625,18903,24000
A3,三教师视图部署加权球面聚合，无tangent（上界）,leo_rain_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.43333333333334,17144,24000
A4,A3+单参数tangent,clean,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.57916666666667,19819,24000
A4,A3+单参数tangent,clean,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",77.825,18678,24000
A4,A3+单参数tangent,clean,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",92.425,22182,24000
A4,A3+单参数tangent,clean,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.13333333333334,16832,24000
A4,A3+单参数tangent,clean,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.67916666666666,19843,24000
A4,A3+单参数tangent,clean,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",90.54583333333333,21731,24000
A4,A3+单参数tangent,clean,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.0375,18729,24000
A4,A3+单参数tangent,leo_clear_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",78.1875,18765,24000
A4,A3+单参数tangent,leo_clear_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",63.9125,15339,24000
A4,A3+单参数tangent,leo_clear_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",85.00833333333334,20402,24000
A4,A3+单参数tangent,leo_clear_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.87083333333333,15089,24000
A4,A3+单参数tangent,leo_clear_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.68333333333334,17204,24000
A4,A3+单参数tangent,leo_clear_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",82.04583333333333,19691,24000
A4,A3+单参数tangent,leo_clear_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.7375,16977,24000
A4,A3+单参数tangent,leo_low_elev_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.38333333333334,18092,24000
A4,A3+单参数tangent,leo_low_elev_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.00833333333333,14882,24000
A4,A3+单参数tangent,leo_low_elev_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.61666666666666,20068,24000
A4,A3+单参数tangent,leo_low_elev_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.0625,14895,24000
A4,A3+单参数tangent,leo_low_elev_weak,9,7-14,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",71.70833333333333,17210,24000
A4,A3+单参数tangent,leo_low_elev_weak,10,7-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",79.55416666666666,19093,24000
A4,A3+单参数tangent,leo_low_elev_weak,11,8-8,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",70.27083333333333,16865,24000
A4,A3+单参数tangent,leo_rain_weak,0,1-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",75.57916666666667,18139,24000
A4,A3+单参数tangent,leo_rain_weak,2,14-7,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.829166666666666,15079,24000
A4,A3+单参数tangent,leo_rain_weak,5,2-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",83.68333333333334,20084,24000
A4,A3+单参数tangent,leo_rain_weak,7,20-1,"2021_03_01,2021_03_08,2021_03_15,2021_03_23",62.67916666666667,15043,24000
