candidate,scene,group,value,rows,correct,closed_accuracy,accepted,coverage,accepted_correct,accepted_accuracy
A2,clean,RX_TX,10:2,4000,2977,0.74425,3333,0.83325,2657,0.7971797179717972
A2,clean,RX_TX,10:3,4000,1498,0.3745,3307,0.82675,1275,0.3855458119141216
A2,clean,RX_TX,10:4,4000,3999,0.99975,4000,1.0,3999,0.99975
A2,clean,RX_TX,10:5,4000,3984,0.996,3964,0.991,3962,0.9994954591321897
A2,clean,RX_TX,11:0,4000,3467,0.86675,3814,0.9535,3381,0.8864708966963818
A2,clean,RX_TX,11:1,4000,2019,0.50475,3542,0.8855,1794,0.5064935064935064
A2,clean,RX_TX,11:2,4000,1207,0.30175,2671,0.66775,946,0.35417446649195056
A2,clean,RX_TX,11:3,4000,3967,0.99175,3990,0.9975,3964,0.993483709273183
A2,clean,RX_TX,11:4,4000,3999,0.99975,3999,0.99975,3998,0.9997499374843711
A2,clean,RX_TX,11:5,4000,3993,0.99825,3908,0.977,3906,0.9994882292732856
A3,clean,all,all,168000,128216,0.7631904761904762,153926,0.9162261904761905,123215,0.8004820498161455
A3,clean,TX,0,28000,25322,0.9043571428571429,27070,0.9667857142857142,24903,0.9199482822312524
A3,clean,TX,1,28000,14748,0.5267142857142857,24943,0.8908214285714285,13016,0.5218297718798861
A3,clean,TX,2,28000,16323,0.5829642857142857,21679,0.77425,14937,0.6890077955625259
A3,clean,TX,3,28000,18103,0.6465357142857143,26310,0.9396428571428571,17576,0.6680349676928924
A3,clean,TX,4,28000,27957,0.9984642857142857,27948,0.9981428571428571,27927,0.9992486045513096
A3,clean,TX,5,28000,25763,0.9201071428571429,25976,0.9277142857142857,24856,0.9568832768709578
A3,clean,RX,0,24000,19587,0.816125,22799,0.9499583333333333,19112,0.8382823808061757
A3,clean,RX,2,24000,15074,0.6280833333333333,21509,0.8962083333333334,14315,0.6655353572922963
A3,clean,RX,5,24000,20279,0.8449583333333334,22318,0.9299166666666666,19511,0.8742270812796845
A3,clean,RX,7,24000,16978,0.7074166666666667,21804,0.9085,16447,0.7543111355714548
A3,clean,RX,9,24000,18588,0.7745,20820,0.8675,17404,0.8359269932756964
A3,clean,RX,10,24000,19038,0.79325,22199,0.9249583333333333,18266,0.8228298572007748
A3,clean,RX,11,24000,18672,0.778,22477,0.9365416666666667,18160,0.8079370022689861
A3,clean,day,0,42000,31406,0.7477619047619047,38764,0.922952380952381,30205,0.7792023526983799
A3,clean,day,1,42000,33573,0.7993571428571429,39346,0.9368095238095238,32401,0.8234890459004728
A3,clean,day,2,42000,30156,0.718,38020,0.9052380952380953,28967,0.7618884797475013
A3,clean,day,3,42000,33081,0.7876428571428571,37796,0.8999047619047619,31642,0.8371785374113663
A3,clean,RX_TX,0:0,4000,3971,0.99275,3972,0.993,3958,0.9964753272910373
A3,clean,RX_TX,0:1,4000,1102,0.2755,3731,0.93275,948,0.25408737603859555
