scenario,new_class_count,state,class_role,class_id,accuracy,nll,query_rows
leo_clear_weak,10,DA1_REG1,old,3,0.7,1.5717465946716165,20
leo_clear_weak,10,DA1_REG1,old,4,0.85,1.7208525855426693,20
leo_clear_weak,10,DA1_REG1,old,5,1.0,0.9470654110392352,20
leo_clear_weak,10,DA1_REG1,new,10,0.75,1.8078118920488873,20
leo_clear_weak,10,DA1_REG1,new,11,0.85,0.8739487783302904,20
leo_clear_weak,10,DA1_REG1,new,12,0.85,1.6036709302399967,20
leo_clear_weak,10,DA1_REG1,new,13,1.0,1.2854574101909269,20
leo_clear_weak,10,DA1_REG1,new,14,1.0,0.8216469993312971,20
leo_clear_weak,10,DA1_REG1,new,15,0.65,1.9254530232511144,20
leo_clear_weak,10,DA1_REG1,new,6,0.8,1.7388785485114568,20
leo_clear_weak,10,DA1_REG1,new,7,1.0,0.9867080716776637,20
leo_clear_weak,10,DA1_REG1,new,8,0.8,1.9551569553081687,20
leo_clear_weak,10,DA1_REG1,new,9,0.8,1.7368866319537943,20
leo_clear_weak,15,DA0_REG0,old,0,0.95,0.8539410127144702,20
leo_clear_weak,15,DA0_REG0,old,1,1.0,0.9815603046879623,20
leo_clear_weak,15,DA0_REG0,old,2,0.8,1.0167887431444318,20
leo_clear_weak,15,DA0_REG0,old,3,0.8,0.9949297677914647,20
leo_clear_weak,15,DA0_REG0,old,4,0.95,0.8478624351392622,20
leo_clear_weak,15,DA0_REG0,old,5,0.95,0.5456164771684725,20
leo_clear_weak,15,DA1_REG0,old,0,0.95,0.8568342141176988,20
leo_clear_weak,15,DA1_REG0,old,1,1.0,0.9843446712461507,20
leo_clear_weak,15,DA1_REG0,old,2,0.8,1.0156754314884706,20
leo_clear_weak,15,DA1_REG0,old,3,0.8,0.9985180585871609,20
leo_clear_weak,15,DA1_REG0,old,4,0.95,0.8486954335151706,20
leo_clear_weak,15,DA1_REG0,old,5,0.95,0.5466749296624874,20
leo_clear_weak,15,DA0_REG1,old,0,0.9,1.5385306564292367,20
leo_clear_weak,15,DA0_REG1,old,1,0.9,1.9126949236188113,20
leo_clear_weak,15,DA0_REG1,old,2,0.7,1.7824145671913552,20
leo_clear_weak,15,DA0_REG1,old,3,0.75,1.7549918558129556,20
leo_clear_weak,15,DA0_REG1,old,4,0.85,1.9165624591738173,20
leo_clear_weak,15,DA0_REG1,old,5,1.0,1.1447700133496013,20
leo_clear_weak,15,DA0_REG1,new,10,0.75,2.112280338248074,20
leo_clear_weak,15,DA0_REG1,new,11,0.85,0.8135722522477782,20
leo_clear_weak,15,DA0_REG1,new,12,0.7,1.8240611590466198,20
leo_clear_weak,15,DA0_REG1,new,13,1.0,1.4565047027106774,20
leo_clear_weak,15,DA0_REG1,new,14,1.0,1.1184334649647707,20
leo_clear_weak,15,DA0_REG1,new,15,0.7,2.1410117660460117,20
leo_clear_weak,15,DA0_REG1,new,16,0.7,1.6371258918089011,20
leo_clear_weak,15,DA0_REG1,new,17,1.0,0.8039070014731384,20
leo_clear_weak,15,DA0_REG1,new,18,0.75,1.9880522854703173,20
leo_clear_weak,15,DA0_REG1,new,19,1.0,1.2397453761169839,20
leo_clear_weak,15,DA0_REG1,new,20,0.8,1.9437830026921923,20
leo_clear_weak,15,DA0_REG1,new,6,0.65,1.9695401140491504,20
leo_clear_weak,15,DA0_REG1,new,7,1.0,1.1896686305151019,20
leo_clear_weak,15,DA0_REG1,new,8,0.6,2.330696741130107,20
leo_clear_weak,15,DA0_REG1,new,9,0.85,1.9477711385178496,20
leo_clear_weak,15,DA1_REG1,old,0,0.9,1.535664790882251,20
leo_clear_weak,15,DA1_REG1,old,1,0.9,1.9108578376034273,20
leo_clear_weak,15,DA1_REG1,old,2,0.7,1.780699446314792,20
leo_clear_weak,15,DA1_REG1,old,3,0.75,1.7547465246482328,20
leo_clear_weak,15,DA1_REG1,old,4,0.85,1.9150767671024158,20
leo_clear_weak,15,DA1_REG1,old,5,1.0,1.1486827337634447,20
leo_clear_weak,15,DA1_REG1,new,10,0.75,2.113204341916435,20
leo_clear_weak,15,DA1_REG1,new,11,0.85,0.8149282783292779,20
leo_clear_weak,15,DA1_REG1,new,12,0.7,1.8186840175446464,20
leo_clear_weak,15,DA1_REG1,new,13,1.0,1.4560150064483635,20
leo_clear_weak,15,DA1_REG1,new,14,1.0,1.1181089241328768,20
leo_clear_weak,15,DA1_REG1,new,15,0.7,2.1404353240642755,20
leo_clear_weak,15,DA1_REG1,new,16,0.7,1.6388688350282,20
leo_clear_weak,15,DA1_REG1,new,17,1.0,0.8075346672097641,20
leo_clear_weak,15,DA1_REG1,new,18,0.75,1.9857747300385835,20
leo_clear_weak,15,DA1_REG1,new,19,1.0,1.2404044650407455,20
leo_clear_weak,15,DA1_REG1,new,20,0.8,1.9426094270986958,20
leo_clear_weak,15,DA1_REG1,new,6,0.7,1.969613605817153,20
leo_clear_weak,15,DA1_REG1,new,7,1.0,1.1838799547371928,20
leo_clear_weak,15,DA1_REG1,new,8,0.6,2.326180019257865,20
leo_clear_weak,15,DA1_REG1,new,9,0.85,1.9469036598477836,20
leo_clear_weak,20,DA0_REG0,old,0,0.95,0.8539410089409547,20
leo_clear_weak,20,DA0_REG0,old,1,1.0,0.9815603370359108,20
leo_clear_weak,20,DA0_REG0,old,2,0.8,1.016788725403242,20
leo_clear_weak,20,DA0_REG0,old,3,0.8,0.9949297629401805,20
leo_clear_weak,20,DA0_REG0,old,4,0.95,0.847862423225347,20
leo_clear_weak,20,DA0_REG0,old,5,0.95,0.5456164794445153,20
leo_clear_weak,20,DA1_REG0,old,0,0.95,0.8568342068258105,20
leo_clear_weak,20,DA1_REG0,old,1,1.0,0.9843446633475283,20
leo_clear_weak,20,DA1_REG0,old,2,0.8,1.0156754469226372,20
leo_clear_weak,20,DA1_REG0,old,3,0.8,0.9985180919677685,20
leo_clear_weak,20,DA1_REG0,old,4,0.95,0.8486954230996122,20
leo_clear_weak,20,DA1_REG0,old,5,0.95,0.5466749328984812,20
leo_clear_weak,20,DA0_REG1,old,0,0.9,1.7286422130327659,20
