scenario,new_class_count,state,old_acc,old_floor,seen_new_acc,new_floor,H_old_new,registered_acc,registered_floor,registered_nll,registered_ece10,old_nll,old_ece10,query_rows
leo_clear_weak,15,DA0_REG1,0.85,0.7,0.8233333333333334,0.6,0.8364541832669322,0.830952380952381,0.6,1.646005635267307,0.5881625951732271,1.6749940792626294,0.6273155096876275,420
leo_clear_weak,15,DA1_REG1,0.85,0.7,0.8266666666666667,0.6,0.8381709741550696,0.8333333333333334,0.6,1.645184445563163,0.5905228516139913,1.6742880167190939,0.6289036804664897,420
leo_clear_weak,20,DA0_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8734497894983584,0.45484979634746353,0.8734497894983584,0.45484979634746353,520
leo_clear_weak,20,DA1_REG0,0.9083333333333333,0.8,,,,0.9083333333333333,0.8,0.8751237941769731,0.4553714365748194,0.8751237941769731,0.4553714365748194,520
leo_clear_weak,20,DA0_REG1,0.8416666666666667,0.7,0.7675,0.55,0.8028741584671155,0.7846153846153846,0.55,1.9258402429448567,0.5900314112770151,1.8909180272259993,0.6585959094168059,520
leo_clear_weak,20,DA1_REG1,0.8416666666666667,0.7,0.7675,0.55,0.8028741584671155,0.7846153846153846,0.55,1.9257507893975636,0.5902122808977301,1.8913455996235977,0.6587619518742795,520
leo_low_elev_weak,1,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136692999810889,0.4533619853170095,0.9136692999810889,0.4533619853170095,140
leo_low_elev_weak,1,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835060932541243,0.45650084306131156,0.8835060932541243,0.45650084306131156,140
leo_low_elev_weak,1,DA0_REG1,0.8666666666666667,0.7,1.0,1.0,0.9285714285714286,0.8857142857142857,0.7,0.9843212262951516,0.45394244265614214,1.003548672707026,0.43421410008490996,140
leo_low_elev_weak,1,DA1_REG1,0.8666666666666667,0.7,1.0,1.0,0.9285714285714286,0.8857142857142857,0.7,0.9834047358102688,0.45388653030649034,1.0023324295664051,0.4340839396400853,140
leo_low_elev_weak,2,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136692999810889,0.4533619853170095,0.9136692999810889,0.4533619853170095,160
leo_low_elev_weak,2,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835060932541243,0.45650084306131156,0.8835060932541243,0.45650084306131156,160
leo_low_elev_weak,2,DA0_REG1,0.8416666666666667,0.7,0.925,0.85,0.8813679245283019,0.8625,0.7,1.0560337041445043,0.45278932543395456,1.0862736523498466,0.44114428112614895,160
leo_low_elev_weak,2,DA1_REG1,0.8416666666666667,0.7,0.925,0.85,0.8813679245283019,0.8625,0.7,1.0539979339184202,0.4524217983409387,1.0843111858228915,0.44071028215659624,160
leo_low_elev_weak,3,DA0_REG0,0.9083333333333333,0.9,,,,0.9083333333333333,0.9,0.9136692999810889,0.4533619853170095,0.9136692999810889,0.4533619853170095,180
leo_low_elev_weak,3,DA1_REG0,0.9166666666666666,0.8,,,,0.9166666666666666,0.8,0.8835060932541243,0.45650084306131156,0.8835060932541243,0.45650084306131156,180
leo_low_elev_weak,3,DA0_REG1,0.8416666666666667,0.8,0.8333333333333334,0.8,0.8374792703150913,0.8388888888888889,0.8,1.2006469812238394,0.4809293251560772,1.212123557212252,0.4808810444976094,180
