row,scene,true_tx,predicted_tx,count
M09,leo_low_elev_weak,1,3,16920
M09,leo_low_elev_weak,1,4,465
M09,leo_low_elev_weak,1,5,20
M09,leo_low_elev_weak,2,0,1387
M09,leo_low_elev_weak,2,1,1832
M09,leo_low_elev_weak,2,2,16615
M09,leo_low_elev_weak,2,3,2340
M09,leo_low_elev_weak,2,4,2276
M09,leo_low_elev_weak,2,5,3550
M09,leo_low_elev_weak,3,0,4200
M09,leo_low_elev_weak,3,1,6271
M09,leo_low_elev_weak,3,2,926
M09,leo_low_elev_weak,3,3,16208
M09,leo_low_elev_weak,3,4,271
M09,leo_low_elev_weak,3,5,124
M09,leo_low_elev_weak,4,0,26
M09,leo_low_elev_weak,4,1,798
M09,leo_low_elev_weak,4,2,225
M09,leo_low_elev_weak,4,3,1011
M09,leo_low_elev_weak,4,4,25900
M09,leo_low_elev_weak,4,5,40
M09,leo_low_elev_weak,5,0,136
M09,leo_low_elev_weak,5,1,528
M09,leo_low_elev_weak,5,2,439
M09,leo_low_elev_weak,5,3,15
M09,leo_low_elev_weak,5,4,2605
M09,leo_low_elev_weak,5,5,24277
M09,leo_rain_weak,0,0,21612
M09,leo_rain_weak,0,1,2006
M09,leo_rain_weak,0,2,166
M09,leo_rain_weak,0,3,4060
M09,leo_rain_weak,0,4,138
M09,leo_rain_weak,0,5,18
M09,leo_rain_weak,1,0,1495
M09,leo_rain_weak,1,1,9484
M09,leo_rain_weak,1,2,59
M09,leo_rain_weak,1,3,16409
M09,leo_rain_weak,1,4,529
M09,leo_rain_weak,1,5,24
M09,leo_rain_weak,2,0,1481
M09,leo_rain_weak,2,1,1838
M09,leo_rain_weak,2,2,16577
M09,leo_rain_weak,2,3,2325
M09,leo_rain_weak,2,4,2208
M09,leo_rain_weak,2,5,3571
M09,leo_rain_weak,3,0,4564
M09,leo_rain_weak,3,1,6175
M09,leo_rain_weak,3,2,948
M09,leo_rain_weak,3,3,15900
M09,leo_rain_weak,3,4,265
M09,leo_rain_weak,3,5,148
M09,leo_rain_weak,4,0,29
M09,leo_rain_weak,4,1,863
M09,leo_rain_weak,4,2,224
M09,leo_rain_weak,4,3,1005
M09,leo_rain_weak,4,4,25835
M09,leo_rain_weak,4,5,44
M09,leo_rain_weak,5,0,113
M09,leo_rain_weak,5,1,554
M09,leo_rain_weak,5,2,412
M09,leo_rain_weak,5,3,19
M09,leo_rain_weak,5,4,2495
M09,leo_rain_weak,5,5,24407
M10,clean,0,0,25211
M10,clean,0,1,562
M10,clean,0,2,112
M10,clean,0,3,2083
M10,clean,0,4,22
M10,clean,0,5,10
M10,clean,1,0,288
M10,clean,1,1,12038
M10,clean,1,2,68
M10,clean,1,3,15476
M10,clean,1,4,120
M10,clean,1,5,10
M10,clean,2,0,405
M10,clean,2,1,1031
M10,clean,2,2,20824
M10,clean,2,3,1329
M10,clean,2,4,563
M10,clean,2,5,3848
M10,clean,3,0,2403
M10,clean,3,1,5752
M10,clean,3,2,565
M10,clean,3,3,19217
M10,clean,3,4,30
M10,clean,3,5,33
M10,clean,4,0,4
M10,clean,4,1,20
M10,clean,4,2,208
M10,clean,4,3,9
M10,clean,4,4,27748
M10,clean,4,5,11
M10,clean,5,0,8
M10,clean,5,1,65
M10,clean,5,2,184
M10,clean,5,3,7
M10,clean,5,4,1106
M10,clean,5,5,26630
M10,leo_clear_weak,0,0,21107
M10,leo_clear_weak,0,1,1868
M10,leo_clear_weak,0,2,150
M10,leo_clear_weak,0,3,4791
M10,leo_clear_weak,0,4,70
M10,leo_clear_weak,0,5,14
M10,leo_clear_weak,1,0,875
M10,leo_clear_weak,1,1,9013
M10,leo_clear_weak,1,2,44
M10,leo_clear_weak,1,3,17736
M10,leo_clear_weak,1,4,316
M10,leo_clear_weak,1,5,16
M10,leo_clear_weak,2,0,1243
M10,leo_clear_weak,2,1,1350
M10,leo_clear_weak,2,2,17425
M10,leo_clear_weak,2,3,2398
M10,leo_clear_weak,2,4,2267
M10,leo_clear_weak,2,5,3317
M10,leo_clear_weak,3,0,3328
M10,leo_clear_weak,3,1,5845
M10,leo_clear_weak,3,2,893
M10,leo_clear_weak,3,3,17716
M10,leo_clear_weak,3,4,88
M10,leo_clear_weak,3,5,130
M10,leo_clear_weak,4,0,15
M10,leo_clear_weak,4,1,371
M10,leo_clear_weak,4,2,190
M10,leo_clear_weak,4,3,757
M10,leo_clear_weak,4,4,26636
M10,leo_clear_weak,4,5,31
M10,leo_clear_weak,5,0,65
M10,leo_clear_weak,5,1,399
M10,leo_clear_weak,5,2,351
M10,leo_clear_weak,5,3,9
M10,leo_clear_weak,5,4,3285
M10,leo_clear_weak,5,5,23891
M10,leo_low_elev_weak,0,0,20612
M10,leo_low_elev_weak,0,1,2048
M10,leo_low_elev_weak,0,2,184
M10,leo_low_elev_weak,0,3,4919
M10,leo_low_elev_weak,0,4,215
M10,leo_low_elev_weak,0,5,22
M10,leo_low_elev_weak,1,0,1196
M10,leo_low_elev_weak,1,1,8699
M10,leo_low_elev_weak,1,2,42
M10,leo_low_elev_weak,1,3,17491
M10,leo_low_elev_weak,1,4,546
M10,leo_low_elev_weak,1,5,26
M10,leo_low_elev_weak,2,0,1429
M10,leo_low_elev_weak,2,1,1489
M10,leo_low_elev_weak,2,2,16456
M10,leo_low_elev_weak,2,3,2500
M10,leo_low_elev_weak,2,4,2349
M10,leo_low_elev_weak,2,5,3777
M10,leo_low_elev_weak,3,0,4035
M10,leo_low_elev_weak,3,1,6001
