row,scene,scope,group,correct,total,accuracy
M00,clean,rx_tx,10:0,3999,4000,0.99975
M00,clean,rx_tx,10:1,2431,4000,0.60775
M00,clean,rx_tx,10:2,3006,4000,0.7515
M00,clean,rx_tx,10:3,1687,4000,0.42175
M00,clean,rx_tx,10:4,3999,4000,0.99975
M00,clean,rx_tx,10:5,3997,4000,0.99925
M00,clean,rx_tx,11:0,3853,4000,0.96325
M00,clean,rx_tx,11:1,2184,4000,0.546
M00,clean,rx_tx,11:2,1077,4000,0.26925
M00,clean,rx_tx,11:3,3951,4000,0.98775
M00,clean,rx_tx,11:4,3999,4000,0.99975
M00,clean,rx_tx,11:5,3994,4000,0.9985
M00,clean,rx_tx,2:0,3943,4000,0.98575
M00,clean,rx_tx,2:1,2380,4000,0.595
M00,clean,rx_tx,2:2,1785,4000,0.44625
M00,clean,rx_tx,2:3,44,4000,0.011
M00,clean,rx_tx,2:4,3998,4000,0.9995
M00,clean,rx_tx,2:5,3997,4000,0.99925
M00,clean,rx_tx,5:0,3580,4000,0.895
M00,clean,rx_tx,5:1,2518,4000,0.6295
M00,clean,rx_tx,5:2,3425,4000,0.85625
M00,clean,rx_tx,5:3,3004,4000,0.751
M00,clean,rx_tx,5:4,3997,4000,0.99925
M00,clean,rx_tx,5:5,3975,4000,0.99375
M00,clean,rx_tx,7:0,3824,4000,0.956
M00,clean,rx_tx,7:1,2232,4000,0.558
M00,clean,rx_tx,7:2,2524,4000,0.631
M00,clean,rx_tx,7:3,1737,4000,0.43425
M00,clean,rx_tx,7:4,3981,4000,0.99525
M00,clean,rx_tx,7:5,3413,4000,0.85325
M00,clean,rx_tx,9:0,3508,4000,0.877
M00,clean,rx_tx,9:1,1970,4000,0.4925
M00,clean,rx_tx,9:2,3586,4000,0.8965
M00,clean,rx_tx,9:3,3970,4000,0.9925
M00,clean,rx_tx,9:4,3999,4000,0.99975
M00,clean,rx_tx,9:5,3874,4000,0.9685
M00,clean,scene,all,131816,168000,0.7846190476190477
M00,clean,tx,0,26702,28000,0.9536428571428571
M00,clean,tx,1,14449,28000,0.5160357142857143
M00,clean,tx,2,17382,28000,0.6207857142857143
M00,clean,tx,3,18290,28000,0.6532142857142857
M00,clean,tx,4,27958,28000,0.9985
M00,clean,tx,5,27035,28000,0.9655357142857143
M00,leo_clear_weak,day,0,25770,42000,0.6135714285714285
M00,leo_clear_weak,day,1,27343,42000,0.6510238095238096
M00,leo_clear_weak,day,2,25887,42000,0.6163571428571428
M00,leo_clear_weak,day,3,27668,42000,0.6587619047619048
M00,leo_clear_weak,rx,0,16665,24000,0.694375
M00,leo_clear_weak,rx,10,16672,24000,0.6946666666666667
M00,leo_clear_weak,rx,11,15473,24000,0.6447083333333333
M00,leo_clear_weak,rx,2,10897,24000,0.4540416666666667
M00,leo_clear_weak,rx,5,17830,24000,0.7429166666666667
M00,leo_clear_weak,rx,7,11659,24000,0.4857916666666667
M00,leo_clear_weak,rx,9,17472,24000,0.728
M00,leo_clear_weak,rx_day,0:0,3651,6000,0.6085
M00,leo_clear_weak,rx_day,0:1,4396,6000,0.7326666666666667
M00,leo_clear_weak,rx_day,0:2,4450,6000,0.7416666666666667
M00,leo_clear_weak,rx_day,0:3,4168,6000,0.6946666666666667
M00,leo_clear_weak,rx_day,10:0,4545,6000,0.7575
M00,leo_clear_weak,rx_day,10:1,4154,6000,0.6923333333333334
M00,leo_clear_weak,rx_day,10:2,3604,6000,0.6006666666666667
M00,leo_clear_weak,rx_day,10:3,4369,6000,0.7281666666666666
M00,leo_clear_weak,rx_day,11:0,4027,6000,0.6711666666666667
M00,leo_clear_weak,rx_day,11:1,3905,6000,0.6508333333333334
M00,leo_clear_weak,rx_day,11:2,3507,6000,0.5845
M00,leo_clear_weak,rx_day,11:3,4034,6000,0.6723333333333333
M00,leo_clear_weak,rx_day,2:0,2243,6000,0.37383333333333335
M00,leo_clear_weak,rx_day,2:1,2712,6000,0.452
M00,leo_clear_weak,rx_day,2:2,2855,6000,0.47583333333333333
M00,leo_clear_weak,rx_day,2:3,3087,6000,0.5145
M00,leo_clear_weak,rx_day,5:0,4000,6000,0.6666666666666666
M00,leo_clear_weak,rx_day,5:1,4921,6000,0.8201666666666667
M00,leo_clear_weak,rx_day,5:2,4818,6000,0.803
M00,leo_clear_weak,rx_day,5:3,4091,6000,0.6818333333333333
M00,leo_clear_weak,rx_day,7:0,3557,6000,0.5928333333333333
M00,leo_clear_weak,rx_day,7:1,2639,6000,0.43983333333333335
M00,leo_clear_weak,rx_day,7:2,2409,6000,0.4015
M00,leo_clear_weak,rx_day,7:3,3054,6000,0.509
M00,leo_clear_weak,rx_day,9:0,3747,6000,0.6245
M00,leo_clear_weak,rx_day,9:1,4616,6000,0.7693333333333333
M00,leo_clear_weak,rx_day,9:2,4244,6000,0.7073333333333334
M00,leo_clear_weak,rx_day,9:3,4865,6000,0.8108333333333333
M00,leo_clear_weak,rx_tx,0:0,2951,4000,0.73775
M00,leo_clear_weak,rx_tx,0:1,795,4000,0.19875
M00,leo_clear_weak,rx_tx,0:2,2585,4000,0.64625
M00,leo_clear_weak,rx_tx,0:3,3664,4000,0.916
M00,leo_clear_weak,rx_tx,0:4,3260,4000,0.815
M00,leo_clear_weak,rx_tx,0:5,3410,4000,0.8525
M00,leo_clear_weak,rx_tx,10:0,3200,4000,0.8
M00,leo_clear_weak,rx_tx,10:1,1364,4000,0.341
M00,leo_clear_weak,rx_tx,10:2,2830,4000,0.7075
M00,leo_clear_weak,rx_tx,10:3,1939,4000,0.48475
M00,leo_clear_weak,rx_tx,10:4,3368,4000,0.842
M00,leo_clear_weak,rx_tx,10:5,3971,4000,0.99275
M00,leo_clear_weak,rx_tx,11:0,2130,4000,0.5325
M00,leo_clear_weak,rx_tx,11:1,899,4000,0.22475
M00,leo_clear_weak,rx_tx,11:2,673,4000,0.16825
M00,leo_clear_weak,rx_tx,11:3,3905,4000,0.97625
M00,leo_clear_weak,rx_tx,11:4,3961,4000,0.99025
M00,leo_clear_weak,rx_tx,11:5,3905,4000,0.97625
M00,leo_clear_weak,rx_tx,2:0,1614,4000,0.4035
