reference_arm,receiver,seed,k_shot,current_old_acc,reference_old_acc,delta_old_acc,current_seen_new_acc,reference_seen_new_acc,delta_seen_new_acc,current_H_old_new,reference_H_old_new,delta_H_old_new
full_legacy_oracle_strict,3-19,713104,2,0.5944444444444444,0.6666666666666666,-0.07222222222222219,0.39999999999999997,0.75,-0.35000000000000003,0.465284439824881,0.7004136440808767,-0.2351292042559957
singleview_fft96_strict,3-19,713104,2,0.5944444444444444,0.5583333333333333,0.036111111111111094,0.39999999999999997,0.35833333333333334,0.04166666666666663,0.465284439824881,0.43456640058055146,0.03071803924432953
full_legacy_oracle_strict,3-19,713104,20,0.7166666666666667,0.7944444444444444,-0.07777777777777772,0.6416666666666666,0.8666666666666667,-0.2250000000000001,0.6768158533422262,0.8285502654870988,-0.1517344121448726
singleview_fft96_strict,3-19,713104,20,0.7166666666666667,0.6444444444444445,0.07222222222222219,0.6416666666666666,0.5583333333333332,0.08333333333333337,0.6768158533422262,0.5952734091818599,0.08154244416036627
full_legacy_oracle_strict,3-19,713104,5,0.6444444444444445,0.7333333333333334,-0.0888888888888889,0.35000000000000003,0.8166666666666668,-0.46666666666666673,0.4357172065274941,0.7699494346233476,-0.3342322280958535
singleview_fft96_strict,3-19,713104,5,0.6444444444444445,0.5277777777777777,0.11666666666666681,0.35000000000000003,0.4916666666666667,-0.14166666666666666,0.4357172065274941,0.49790335044433404,-0.06218614391683991
full_legacy_oracle_strict,3-19,713105,1,0.5555555555555555,0.6222222222222223,-0.06666666666666687,0.4666666666666666,0.6666666666666666,-0.2,0.5036460929642748,0.6425542338893446,-0.13890814092506987
singleview_fft96_strict,3-19,713105,1,0.5555555555555555,0.5499999999999999,0.005555555555555536,0.4666666666666666,0.18333333333333335,0.28333333333333327,0.5036460929642748,0.2630975452196382,0.24054854774463658
full_legacy_oracle_strict,3-19,713105,10,0.7222222222222222,0.7916666666666666,-0.06944444444444442,0.625,0.9166666666666666,-0.29166666666666663,0.6684144343253439,0.8493590672343209,-0.180944632908977
singleview_fft96_strict,3-19,713105,10,0.7222222222222222,0.6444444444444445,0.07777777777777772,0.625,0.3833333333333333,0.2416666666666667,0.6684144343253439,0.47369114771661985,0.194723286608724
full_legacy_oracle_strict,3-19,713105,2,0.5972222222222222,0.688888888888889,-0.09166666666666679,0.525,0.8000000000000002,-0.27500000000000013,0.5521997603335632,0.7364040158198965,-0.18420425548633323
singleview_fft96_strict,3-19,713105,2,0.5972222222222222,0.5416666666666667,0.05555555555555547,0.525,0.3833333333333333,0.14166666666666672,0.5521997603335632,0.44223574826230694,0.10996401207125628
full_legacy_oracle_strict,3-19,713105,20,0.7416666666666667,0.8222222222222223,-0.0805555555555556,0.6666666666666666,0.9166666666666666,-0.25,0.7011509787733504,0.8667301746690272,-0.16557919589567682
singleview_fft96_strict,3-19,713105,20,0.7416666666666667,0.7000000000000001,0.04166666666666663,0.6666666666666666,0.48333333333333334,0.1833333333333333,0.7011509787733504,0.5642432279139139,0.13690775085943652
