arm,experiment_id,receiver,seed,k_shot,old_acc,seen_new_acc,H_old_new,average_forgetting,min_old_class_acc,min_seen_new_class_acc,run_dir,min_old_new,joint_score
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713104,7-14,713104,2,0.8833333333333333,0.7166666666666667,0.7897298840789455,-0.002777777777777768,0.6833333333333333,0.5166666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713104\k_2\cvs_qknnv42,0.7166666666666667,0.7965766280263152
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713104,7-14,713104,20,0.9166666666666666,0.875,0.8952155335773956,0.0,0.7666666666666667,0.75,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713104\k_20\cvs_qknnv42,0.875,0.895627400081354
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713104,7-14,713104,5,0.8694444444444445,0.8083333333333332,0.8371202989323189,-3.700743415417188e-17,0.65,0.6333333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713104\k_5\cvs_qknnv42,0.8083333333333332,0.8382993589033655
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713105,7-14,713105,1,0.9083333333333333,0.6749999999999999,0.7713813371657497,0.00833333333333334,0.7833333333333333,0.4666666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713105\k_1\cvs_qknnv42,0.6749999999999999,0.784904890166361
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713105,7-14,713105,10,0.9194444444444444,0.8416666666666667,0.8781019055513043,0.013888888888888914,0.7666666666666667,0.6833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713105\k_10\cvs_qknnv42,0.8416666666666667,0.8797376722208051
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713105,7-14,713105,2,0.9249999999999999,0.6583333333333333,0.7678552181755146,0.0027777777777778048,0.8166666666666667,0.36666666666666664,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713105\k_2\cvs_qknnv42,0.6583333333333333,0.783729517169616
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713105,7-14,713105,20,0.9388888888888888,0.9416666666666668,0.9399975109407158,0.005555555555555573,0.85,0.8833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713105\k_20\cvs_qknnv42,0.9388888888888888,0.9401843554987571
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713105,7-14,713105,5,0.9166666666666666,0.8083333333333332,0.8579460950522684,0.0,0.8,0.6166666666666667,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-14\seed_713105\k_5\cvs_qknnv42,0.8083333333333332,0.8609820316840894
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-7_k1_seed713101,7-7,713101,1,0.6472222222222223,0.6,0.6119345872677429,0.13333333333333333,0.18333333333333332,0.55,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-7\seed_713101\k_1\cvs_qknnv42,0.6,0.619718936496655
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-7_k10_seed713101,7-7,713101,10,0.8833333333333333,0.8833333333333334,0.8826950752705881,-3.700743415417188e-17,0.6666666666666666,0.7833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-7\seed_713101\k_10\cvs_qknnv42,0.8833333333333333,0.8831205806457515
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-7_k2_seed713101,7-7,713101,2,0.7444444444444445,0.8083333333333332,0.774849918265152,0.07777777777777777,0.48333333333333334,0.7833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-7\seed_713101\k_2\cvs_qknnv42,0.7444444444444445,0.7758758986809765
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-7_k20_seed713101,7-7,713101,20,0.9166666666666666,0.9,0.9074237488517674,-0.002777777777777768,0.75,0.8,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-7\seed_713101\k_20\cvs_qknnv42,0.9,0.9080301385061448
full_nonoracle_strict,cvs_qknnv42_stage2c_rx7-7_k5_seed713101,7-7,713101,5,0.85,0.8833333333333334,0.8661810317582814,0.0,0.6,0.7833333333333333,local_artifacts\qknnv42_full_nonoracle125_20260715_094615\rx_7-7\seed_713101\k_5\cvs_qknnv42,0.85,0.8665047883638716
