arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting,old_acc_before_increment,old_to_seen_new_rate,seen_new_to_old_rate,adaptation_latency_sec,onboard_scoring_latency_per_query_ms,persistent_state_bytes_with_post_adapter,dense_graph_peak_bytes_lower_bound,estimated_head_macs_with_post_adapter,persistent_state_bytes_total,dense_graph_peak_bytes_total_lower_bound,estimated_head_macs_total
full_nonoracle_strict,3-19,713104,5,leo_rain_weak,0.575,0.4,0.4717948717948718,0.09166666666666667,0.6666666666666666,0.09166666666666666,0.475,0.0102015919983387,0.04464065423235297,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713105,1,leo_clear_weak,0.48333333333333334,0.45,0.4660714285714286,0.08333333333333331,0.5666666666666667,0.16666666666666666,0.25,0.015429880004376173,0.07540758233517408,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713105,1,leo_low_elev_weak,0.575,0.55,0.5622222222222222,0.10833333333333339,0.6833333333333333,0.15833333333333333,0.3,0.011394598055630922,0.05382909148465842,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713105,1,leo_rain_weak,0.6083333333333333,0.4,0.4826446280991735,0.08333333333333337,0.6916666666666667,0.09166666666666666,0.325,0.008813713677227497,0.03753789933398366,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,3-19,713105,10,leo_clear_weak,0.6916666666666667,0.65,0.6701863354037266,0.08333333333333337,0.775,0.1,0.35,0.08844982832670212,0.5278439552057534,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713105,10,leo_low_elev_weak,0.7083333333333334,0.65,0.6779141104294478,0.02499999999999991,0.7333333333333333,0.1,0.3,0.012055019848048687,0.053461367497220635,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713105,10,leo_rain_weak,0.7666666666666667,0.575,0.6571428571428571,0.033333333333333326,0.8,0.058333333333333334,0.375,0.011675176210701466,0.0513777689775452,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,3-19,713105,2,leo_clear_weak,0.525,0.575,0.5488636363636363,0.1166666666666667,0.6416666666666667,0.13333333333333333,0.325,0.009079195093363523,0.0387569481972605,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713105,2,leo_low_elev_weak,0.6083333333333333,0.575,0.5911971830985916,0.1166666666666667,0.725,0.13333333333333333,0.325,0.008433104958385229,0.03490984672680497,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713105,2,leo_rain_weak,0.6583333333333333,0.425,0.5165384615384616,0.10833333333333339,0.7666666666666667,0.09166666666666666,0.375,0.012047840282320976,0.054919187095947564,24790,495616,12877824,34113,991232,18202624
full_nonoracle_strict,3-19,713105,20,leo_clear_weak,0.7166666666666667,0.675,0.6952095808383234,0.07499999999999996,0.7916666666666666,0.09166666666666666,0.325,0.0870937081053853,0.5134072882356122,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713105,20,leo_low_elev_weak,0.7333333333333333,0.7,0.7162790697674419,0.06666666666666676,0.8,0.10833333333333334,0.25,0.01626845821738243,0.07335121626965702,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713105,20,leo_rain_weak,0.775,0.625,0.6919642857142858,0.04166666666666663,0.8166666666666667,0.058333333333333334,0.3,0.015944705810397863,0.07114137406460941,62806,1638400,46202880,86529,3276800,65167360
full_nonoracle_strict,3-19,713105,5,leo_clear_weak,0.6416666666666667,0.625,0.6332236842105263,0.09166666666666656,0.7333333333333333,0.1,0.275,0.08995994459837675,0.5425055249361321,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713105,5,leo_low_elev_weak,0.675,0.625,0.6490384615384616,0.06666666666666665,0.7416666666666667,0.10833333333333334,0.325,0.02141349297016859,0.11502255802042782,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,3-19,713105,5,leo_rain_weak,0.7333333333333333,0.4,0.5176470588235295,0.05833333333333335,0.7916666666666666,0.06666666666666667,0.525,0.026920746080577374,0.14708269445691258,31126,640000,17326080,42849,1280000,24463360
full_nonoracle_strict,7-14,713101,1,leo_clear_weak,0.95,0.475,0.6333333333333334,-0.008333333333333304,0.9416666666666667,0.0,0.525,0.010346964932978153,0.04687981854658574,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,7-14,713101,1,leo_low_elev_weak,0.7333333333333333,0.575,0.6445859872611465,0.0,0.7333333333333333,0.025,0.425,0.009938909206539392,0.04485775425564498,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,7-14,713101,1,leo_rain_weak,0.8833333333333333,0.65,0.748913043478261,0.01666666666666672,0.9,0.03333333333333333,0.325,0.009859143756330013,0.044529742444865406,22678,451584,11493376,31201,903168,16254976
full_nonoracle_strict,7-14,713101,10,leo_clear_weak,0.9416666666666667,0.7,0.8030456852791877,0.008333333333333304,0.95,0.0,0.3,0.07032274408265948,0.4168529500020668,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,7-14,713101,10,leo_low_elev_weak,0.9,0.725,0.803076923076923,0.0,0.9,0.0,0.275,0.011036870069801807,0.05157393170520663,41686,921600,25722880,57409,1843200,36290560
full_nonoracle_strict,7-14,713101,10,leo_rain_weak,0.9,0.725,0.803076923076923,0.008333333333333304,0.9083333333333333,0.016666666666666666,0.275,0.011434566229581833,0.04994875635020435,41686,921600,25722880,57409,1843200,36290560
