receiver,new_class_count,k_shot,cell_count,mean_old_acc_before_increment,mean_old_acc_after_increment,mean_direct_adv3b02_old_acc,mean_seen_new_acc_after_increment,mean_H_old_new_after_increment,mean_candidate_average_forgetting,mean_identity_old_acc_after_increment,mean_shared_view_count_mean,mean_delta_before_vs_direct,mean_delta_after_vs_direct,min_old_class_acc_after_global,max_candidate_average_forgetting
8-8,5,5,5,0.8755555555555556,0.7088888888888889,0.78,0.6526666666666666,0.6777305896372461,0.16666666666666669,0.6972222222222222,2.036969696969697,0.09555555555555559,-0.07111111111111108,0.0,0.2111111111111111
8-8,5,10,5,0.885,0.7338888888888889,0.78,0.64,0.6807385814607423,0.15111111111111108,0.715,2.0145454545454546,0.10499999999999998,-0.04611111111111106,0.25,0.17499999999999996
8-8,5,20,5,0.888888888888889,0.7294444444444445,0.78,0.6693333333333333,0.6966373091082401,0.15944444444444444,0.7233333333333334,2.0175757575757576,0.10888888888888895,-0.050555555555555534,0.25,0.20833333333333334
8-8,10,1,5,0.8772222222222222,0.6277777777777778,0.78,0.46699999999999997,0.5318098116224854,0.24944444444444444,0.5361111111111111,2.2645833333333334,0.09722222222222224,-0.1522222222222222,0.0,0.2888888888888889
8-8,10,5,5,0.8744444444444446,0.6605555555555556,0.78,0.5306666666666666,0.5869141811598206,0.21388888888888888,0.6544444444444444,2.2983333333333333,0.09444444444444448,-0.11944444444444444,0.0,0.2916666666666667
8-8,10,10,5,0.8855555555555557,0.6788888888888889,0.78,0.5416666666666666,0.6000415891299677,0.20666666666666664,0.6522222222222223,2.2691666666666666,0.10555555555555558,-0.10111111111111112,0.25,0.2583333333333333
8-8,10,20,5,0.8877777777777778,0.6822222222222222,0.78,0.5650000000000001,0.6168921279828032,0.20555555555555557,0.6772222222222223,2.27375,0.10777777777777783,-0.09777777777777777,0.2,0.24722222222222226
8-8,20,1,5,0.8761111111111111,0.6194444444444445,0.78,0.375,0.46429434579998485,0.2566666666666667,0.5172222222222222,2.4769230769230766,0.0961111111111111,-0.1605555555555555,0.0,0.3
8-8,20,5,5,0.8744444444444446,0.6588888888888889,0.78,0.44416666666666665,0.5299638230549875,0.21555555555555558,0.6477777777777778,2.471025641025641,0.09444444444444448,-0.1211111111111111,0.0,0.2916666666666667
8-8,20,10,5,0.8838888888888888,0.6811111111111111,0.78,0.4688333333333333,0.5539878269104578,0.20277777777777778,0.6505555555555556,2.44,0.10388888888888892,-0.09888888888888889,0.25,0.25
8-8,20,20,5,0.8861111111111111,0.6822222222222222,0.78,0.4801666666666667,0.5626644346419747,0.20388888888888887,0.6766666666666667,2.436153846153846,0.10611111111111113,-0.09777777777777777,0.2,0.24722222222222223
