variant,scene,category,group,correct,total,incorrect,accuracy_percent
U1,leo_clear_weak,receiver_all_days,5,17410,24000,6590,72.54166666666667
U1,leo_clear_weak,receiver_all_days,6,5195,6000,805,86.58333333333333
U1,leo_clear_weak,receiver_all_days,7,10744,24000,13256,44.766666666666666
U1,leo_clear_weak,receiver_all_days,8,4578,6000,1422,76.3
U1,leo_clear_weak,receiver_all_days,9,16544,24000,7456,68.93333333333334
U1,leo_clear_weak,receiver_all_days,10,15178,24000,8822,63.24166666666667
U1,leo_clear_weak,receiver_all_days,11,15575,24000,8425,64.89583333333333
U1,leo_clear_weak,class,0,24136,33000,8864,73.13939393939394
U1,leo_clear_weak,class,1,10367,33000,22633,31.415151515151514
U1,leo_clear_weak,class,2,15190,33000,17810,46.03030303030303
U1,leo_clear_weak,class,3,20887,33000,12113,63.2939393939394
U1,leo_clear_weak,class,4,25892,33000,7108,78.46060606060605
U1,leo_clear_weak,class,5,30388,33000,2612,92.08484848484848
U1,leo_low_elev_weak,aggregate,all,121790,198000,76210,61.51010101010101
U1,leo_low_elev_weak,named,test_unseen_day_seen_rx,22652,30000,7348,75.50666666666666
U1,leo_low_elev_weak,named,test_day_0,22652,30000,7348,75.50666666666666
U1,leo_low_elev_weak,named,test_seen_day_unseen_rx,75087,126000,50913,59.59285714285714
U1,leo_low_elev_weak,named,test_rx_0,12608,18000,5392,70.04444444444445
U1,leo_low_elev_weak,named,test_rx_2,8240,18000,9760,45.77777777777778
U1,leo_low_elev_weak,named,test_rx_5,13048,18000,4952,72.4888888888889
U1,leo_low_elev_weak,named,test_rx_7,7375,18000,10625,40.97222222222222
U1,leo_low_elev_weak,named,test_rx_9,12289,18000,5711,68.27222222222223
U1,leo_low_elev_weak,named,test_rx_10,10429,18000,7571,57.93888888888889
U1,leo_low_elev_weak,named,test_rx_11,11098,18000,6902,61.65555555555556
U1,leo_low_elev_weak,named,test_unseen_day_unseen_rx,24051,42000,17949,57.26428571428571
U1,leo_low_elev_weak,named,test_unseen_day_rx_0,3497,6000,2503,58.28333333333333
U1,leo_low_elev_weak,named,test_unseen_day_rx_2,2403,6000,3597,40.05
U1,leo_low_elev_weak,named,test_unseen_day_rx_5,3577,6000,2423,59.61666666666667
U1,leo_low_elev_weak,named,test_unseen_day_rx_7,3091,6000,2909,51.516666666666666
U1,leo_low_elev_weak,named,test_unseen_day_rx_9,3677,6000,2323,61.28333333333333
U1,leo_low_elev_weak,named,test_unseen_day_rx_10,3981,6000,2019,66.35
U1,leo_low_elev_weak,named,test_unseen_day_rx_11,3825,6000,2175,63.75
U1,leo_low_elev_weak,receiver_all_days,0,16105,24000,7895,67.10416666666667
U1,leo_low_elev_weak,receiver_all_days,1,4148,6000,1852,69.13333333333334
U1,leo_low_elev_weak,receiver_all_days,2,10643,24000,13357,44.34583333333333
U1,leo_low_elev_weak,receiver_all_days,3,4163,6000,1837,69.38333333333334
U1,leo_low_elev_weak,receiver_all_days,4,5079,6000,921,84.65
U1,leo_low_elev_weak,receiver_all_days,5,16625,24000,7375,69.27083333333333
U1,leo_low_elev_weak,receiver_all_days,6,4961,6000,1039,82.68333333333334
U1,leo_low_elev_weak,receiver_all_days,7,10466,24000,13534,43.608333333333334
U1,leo_low_elev_weak,receiver_all_days,8,4301,6000,1699,71.68333333333334
U1,leo_low_elev_weak,receiver_all_days,9,15966,24000,8034,66.525
U1,leo_low_elev_weak,receiver_all_days,10,14410,24000,9590,60.041666666666664
U1,leo_low_elev_weak,receiver_all_days,11,14923,24000,9077,62.17916666666667
U1,leo_low_elev_weak,class,0,23906,33000,9094,72.44242424242424
U1,leo_low_elev_weak,class,1,9574,33000,23426,29.01212121212121
U1,leo_low_elev_weak,class,2,14423,33000,18577,43.7060606060606
U1,leo_low_elev_weak,class,3,18971,33000,14029,57.487878787878785
U1,leo_low_elev_weak,class,4,24772,33000,8228,75.06666666666666
U1,leo_low_elev_weak,class,5,30144,33000,2856,91.34545454545454
U1,leo_rain_weak,aggregate,all,122158,198000,75842,61.69595959595959
U1,leo_rain_weak,named,test_unseen_day_seen_rx,22803,30000,7197,76.01
U1,leo_rain_weak,named,test_day_0,22803,30000,7197,76.01
U1,leo_rain_weak,named,test_seen_day_unseen_rx,75433,126000,50567,59.86746031746032
U1,leo_rain_weak,named,test_rx_0,12579,18000,5421,69.88333333333334
U1,leo_rain_weak,named,test_rx_2,8207,18000,9793,45.59444444444444
U1,leo_rain_weak,named,test_rx_5,13279,18000,4721,73.77222222222223
U1,leo_rain_weak,named,test_rx_7,7422,18000,10578,41.233333333333334
U1,leo_rain_weak,named,test_rx_9,12291,18000,5709,68.28333333333333
U1,leo_rain_weak,named,test_rx_10,10439,18000,7561,57.99444444444445
U1,leo_rain_weak,named,test_rx_11,11216,18000,6784,62.31111111111111
U1,leo_rain_weak,named,test_unseen_day_unseen_rx,23922,42000,18078,56.957142857142856
U1,leo_rain_weak,named,test_unseen_day_rx_0,3416,6000,2584,56.93333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_2,2419,6000,3581,40.31666666666667
U1,leo_rain_weak,named,test_unseen_day_rx_5,3623,6000,2377,60.38333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_7,3039,6000,2961,50.65
U1,leo_rain_weak,named,test_unseen_day_rx_9,3640,6000,2360,60.666666666666664
U1,leo_rain_weak,named,test_unseen_day_rx_10,4080,6000,1920,68.0
U1,leo_rain_weak,named,test_unseen_day_rx_11,3705,6000,2295,61.75
U1,leo_rain_weak,receiver_all_days,0,15995,24000,8005,66.64583333333333
U1,leo_rain_weak,receiver_all_days,1,4166,6000,1834,69.43333333333334
U1,leo_rain_weak,receiver_all_days,2,10626,24000,13374,44.275
U1,leo_rain_weak,receiver_all_days,3,4173,6000,1827,69.55
U1,leo_rain_weak,receiver_all_days,4,5174,6000,826,86.23333333333333
U1,leo_rain_weak,receiver_all_days,5,16902,24000,7098,70.425
U1,leo_rain_weak,receiver_all_days,6,4937,6000,1063,82.28333333333333
U1,leo_rain_weak,receiver_all_days,7,10461,24000,13539,43.5875
U1,leo_rain_weak,receiver_all_days,8,4353,6000,1647,72.55
U1,leo_rain_weak,receiver_all_days,9,15931,24000,8069,66.37916666666666
U1,leo_rain_weak,receiver_all_days,10,14519,24000,9481,60.49583333333333
U1,leo_rain_weak,receiver_all_days,11,14921,24000,9079,62.170833333333334
U1,leo_rain_weak,class,0,24381,33000,8619,73.88181818181818
U1,leo_rain_weak,class,1,9813,33000,23187,29.736363636363638
U1,leo_rain_weak,class,2,14425,33000,18575,43.71212121212121
U1,leo_rain_weak,class,3,18466,33000,14534,55.95757575757576
U1,leo_rain_weak,class,4,24778,33000,8222,75.08484848484848
U1,leo_rain_weak,class,5,30295,33000,2705,91.8030303030303
