run_id,adapter,reject_policy,adapter_kind,source_pair_count,val_pair_mse_before,val_pair_mse_after,val_pair_cos_before,val_pair_cos_after,val_proto_acc_before,val_proto_acc_after,phase,head_type,metric,threshold_policy,unknown_FAR,passes_unknown_far_target,known_closed_accuracy_no_reject,known_full_accuracy_after_reject,old_drop_pp_vs_closed,passes_old_drop_target,passes_dual_target,known_coverage,known_accepted_accuracy,known_query_count,unknown_query_count
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_MLP64_SRC9999,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.9925000071525574,False,0.7558823529411764,0.7482352941176471,0.764705882352934,True,False,0.9858823529411764,0.7589498806682577,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_PROTO_COS_MIN05,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.07750000059604645,False,0.7558823529411764,0.1376470588235294,61.823529411764696,False,False,0.1423529411764706,0.9669421487603306,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_PROTO_COS_SRC9999,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,source_accept,1.0,False,0.7558823529411764,0.7555882352941177,0.029411764705877808,True,False,0.9985294117647059,0.756701030927835,3400,400
phase1_adv3b02_multiview_keepold_rx7_7_u1_20260702,LEOADAPT2_NORMSHIFT,ADAPT2_PROTO_MAH_MIN05,norm_mean_shift,27,0.13993939757347107,0.25219449400901794,0.8228891491889954,0.7888660430908203,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.03750000149011612,True,0.7558823529411764,0.08205882352941177,67.38235294117646,False,False,0.09176470588235294,0.8942307692307693,3400,400
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_LIN_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.07027027010917664,False,0.7194117647058823,0.2994117647058824,41.99999999999999,False,False,0.34088235294117647,0.8783433994823123,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_LIN_SRC9999,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9729729890823364,False,0.7194117647058823,0.7194117647058823,0.0,True,False,0.9994117647058823,0.7198351971748087,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_MLP64_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.07567567378282547,False,0.7194117647058823,0.34852941176470587,37.088235294117645,False,False,0.40705882352941175,0.8562138728323699,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_MLP64_SRC9999,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.9189189076423645,False,0.7194117647058823,0.7155882352941176,0.382352941176467,True,False,0.9814705882352941,0.7290979922085705,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_PROTO_COS_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.04324324429035187,True,0.7194117647058823,0.21823529411764706,50.11764705882352,False,False,0.22941176470588234,0.9512820512820512,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_PROTO_COS_SRC9999,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,source_accept,0.9945945739746094,False,0.7194117647058823,0.7188235294117648,0.058823529411755615,True,False,0.9952941176470588,0.7222222222222222,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_IDENTITY,ADAPT2_PROTO_MAH_MIN05,identity,27,0.13993939757347107,0.13993939757347107,0.8228891491889954,0.8228891491889954,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,diag_mahalanobis,min_source_proxy,0.037837836891412735,True,0.7194117647058823,0.1188235294117647,60.05882352941177,False,False,0.12911764705882353,0.9202733485193622,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_LIN_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,min_source_proxy,0.054054055362939835,False,0.6697058823529412,0.29,37.970588235294116,False,False,0.33147058823529413,0.8748890860692103,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_LIN_SRC9999,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,linear,,source_accept,0.9675675630569458,False,0.6697058823529412,0.6694117647058824,0.029411764705877808,True,False,0.9994117647058823,0.6698057680988817,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_MLP64_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,min_source_proxy,0.0972972959280014,False,0.6697058823529412,0.34205882352941175,32.76470588235294,False,False,0.40588235294117647,0.8427536231884057,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_MLP64_SRC9999,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_multiview_consistency_reject,mlp,,source_accept,0.9243243336677551,False,0.6697058823529412,0.6658823529411765,0.382352941176467,True,False,0.9864705882352941,0.6750149075730472,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_PROTO_COS_MIN05,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,min_source_proxy,0.037837836891412735,True,0.6697058823529412,0.17794117647058824,49.17647058823529,False,False,0.19,0.9365325077399381,3400,185
phase1_adv3b02_multiview_keepold_rx8_8_u10_20260702,LEOADAPT2_LINR_ID,ADAPT2_PROTO_COS_SRC9999,linear_residual,27,0.13993939757347107,0.09915952384471893,0.8228891491889954,0.690868079662323,0.800000011920929,0.800000011920929,phase1_only_source_prototype_reject,,cosine,source_accept,0.9783783555030823,False,0.6697058823529412,0.6697058823529412,0.0,True,False,0.9970588235294118,0.6716814159292035,3400,185
