family,run,row,seed,status,clean,leo_clear_weak,leo_low_elev_weak,leo_rain_weak,leo_mean,source_table,comparison_warning,inherited_target_contact
XUC,,M10,392005,scored,78.37380952380953,68.92142857142856,66.9327380952381,67.20535714285715,67.68650793650794,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M11,392005,scored,80.20238095238095,59.24821428571428,57.95297619047619,58.0202380952381,58.407142857142865,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M12,392005,scored,77.09761904761905,58.5595238095238,56.63214285714285,56.71488095238095,57.30218253968254,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M13,392005,scored,78.43214285714286,64.52142857142857,61.977380952380955,61.677976190476194,62.725595238095245,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,M14,392005,scored,80.34821428571428,58.40119047619048,56.55535714285714,56.75714285714286,57.23789682539683,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M14,392005,scored,76.70535714285714,56.06666666666666,54.57857142857143,54.68511904761905,55.110119047619044,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M11,392005,scored,79.06785714285715,55.82857142857143,54.11785714285714,54.29940476190475,54.74861111111111,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M05,392005,scored,77.44166666666666,54.13035714285714,52.608333333333334,52.814880952380946,53.18452380952382,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M08,392005,scored,77.82976190476191,53.43154761904761,51.8154761904762,52.18214285714286,52.47638888888889,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M07,392005,scored,76.91071428571429,52.969047619047615,51.53214285714286,51.68869047619048,52.063293650793646,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M12,392005,scored,77.06904761904761,56.256547619047616,54.68630952380953,54.9047619047619,55.282539682539685,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,DR-M13,392005,scored,76.1529761904762,54.12380952380952,52.75892857142858,53.12797619047619,53.33690476190477,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,F-A1,392005,scored,78.24880952380953,70.21845238095239,67.88214285714285,67.99940476190476,68.7,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,F-M14,392005,scored,76.29047619047618,67.00297619047619,64.93809523809524,65.27440476190476,65.73849206349206,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,F-M11,392005,scored,77.67619047619047,69.42023809523809,66.9625,66.98035714285714,67.78769841269842,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,F-M05,392005,scored,77.25059523809524,67.2642857142857,65.28095238095239,65.50178571428572,66.0156746031746,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,F-M08,392005,scored,78.26369047619048,68.47797619047618,66.33154761904761,66.49702380952381,67.10218253968253,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
XUC,,F-M12,392005,scored,77.26190476190476,66.4077380952381,64.4297619047619,64.90892857142858,65.24880952380953,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_xuc_full6_eval_s392005_20260914_r1\all_28_scored_comparison.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_A_seed392005,V2_A,392005,scored,76.90416666666667,60.9875,59.73333333333334,59.59285714285715,60.10456349206349,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_A_seed392006,V2_A,392006,scored,75.31547619047619,62.89702380952381,61.329166666666666,61.165476190476184,61.797222222222224,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_A_seed392007,V2_A,392007,scored,75.50178571428572,59.48095238095238,58.07976190476191,58.044047619047625,58.53492063492064,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_B_seed392005,V2_B,392005,scored,76.69404761904762,65.23214285714286,63.215476190476195,62.80535714285714,63.75099206349207,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_B_seed392006,V2_B,392006,scored,73.52797619047618,62.05654761904762,60.046428571428564,60.08154761904761,60.7281746031746,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_B_seed392007,V2_B,392007,scored,73.82857142857144,59.97797619047619,58.49285714285715,58.58869047619047,59.01984126984128,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_C_seed392005,V2_C,392005,scored,76.90416666666667,60.9875,59.73333333333334,59.59285714285715,60.10456349206349,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_C_seed392006,V2_C,392006,scored,75.31547619047619,62.89702380952381,61.329166666666666,61.165476190476184,61.797222222222224,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_C_seed392007,V2_C,392007,scored,75.50178571428572,59.48095238095238,58.07976190476191,58.044047619047625,58.53492063492064,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_D_seed392005,V2_D,392005,scored,76.01666666666667,60.35178571428571,58.713095238095235,58.59285714285715,59.21924603174603,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_D_seed392006,V2_D,392006,scored,74.75119047619047,60.40595238095238,59.07202380952381,59.33095238095238,59.6029761904762,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_D_seed392007,V2_D,392007,scored,75.40535714285714,57.458333333333336,55.86071428571429,55.97559523809523,56.43154761904762,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
GAME_V2,V2_E_seed392005,V2_E,392005,scored,78.32321428571429,65.71428571428571,64.23273809523809,63.88035714285715,64.60912698412699,E:\type10-7\automation_reports\CV-SincNet\core90_game_v2_target_all21_20260913\target_summary.csv,"row records, not unique independent models; compare only matched conditions",
