run,row,inherited_target_contact,scene,tx,precision,recall,f1
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,clean,2,96.07927411652341,71.85357142857143,82.21904372701266
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,clean,3,49.1193535018649,67.72857142857143,56.94210905596925
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,clean,4,86.54316780768873,99.775,92.68923873193874
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,clean,5,86.01604951599555,85.36785714285713,85.69072756278119
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_clear_weak,0,75.10705721137376,62.63928571428572,68.30892662408475
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_clear_weak,1,43.44673136397568,29.099999999999998,34.85477178423236
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_clear_weak,2,89.84592215013902,55.39642857142857,68.53570166136443
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_clear_weak,3,37.11004029410543,63.81071428571429,46.928269377248974
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_clear_weak,4,80.05086095961762,93.31071428571428,86.17368646723178
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_clear_weak,5,86.56898656898657,86.09285714285714,86.33026537263187
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_low_elev_weak,0,71.93104010433649,63.03214285714286,67.18821379625399
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_low_elev_weak,1,40.74495014723356,28.167857142857144,33.30869776379416
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_low_elev_weak,2,88.39130695084715,52.72857142857143,66.05373241169497
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_low_elev_weak,3,35.852055500665834,59.61428571428572,44.77587918130851
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_low_elev_weak,4,78.26207320824362,90.86785714285715,84.0951908775409
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_low_elev_weak,5,85.34373235460193,86.36785714285715,85.85274069866516
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,False,leo_rain_weak,0,70.44430635389156,64.77857142857142,67.49274391605269
