run,row,inherited_target_contact,scene,true_tx,predicted_tx,count
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,1,1,10110
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,1,2,40
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,1,3,16912
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,1,4,297
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,1,5,17
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,2,0,988
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,2,1,1367
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,2,2,18073
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,2,3,1721
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,2,4,2087
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,2,5,3764
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,3,0,2551
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,3,1,7143
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,3,2,947
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,3,3,17117
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,3,4,109
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,3,5,133
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,4,0,7
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,4,1,360
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,4,2,102
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,4,3,200
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,4,4,27312
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,4,5,19
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,5,0,30
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,5,1,510
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,5,2,422
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,5,3,11
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,5,4,3478
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_clear_weak,5,5,23549
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,0,0,20531
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,0,1,2452
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,0,2,237
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,0,3,4597
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,0,4,164
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,0,5,19
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,0,1109
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,1,9751
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,2,58
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,3,16531
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,4,533
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,1,5,18
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,0,1201
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,1,1722
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,2,17027
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,3,1814
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,4,2215
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,2,5,4021
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,0,3081
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,1,7421
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,2,1001
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,3,16132
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,4,217
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,3,5,148
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,4,0,15
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,False,leo_low_elev_weak,4,1,538
