receiver,seed,k_shot,scenario,correct,total,accuracy
7-7,713101,5,leo_low_elev_weak,94,120,0.7833333333333333
7-7,713101,5,leo_rain_weak,97,120,0.8083333333333333
7-7,713102,1,leo_clear_weak,100,120,0.8333333333333334
7-7,713102,1,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713102,1,leo_rain_weak,101,120,0.8416666666666667
7-7,713102,10,leo_clear_weak,100,120,0.8333333333333334
7-7,713102,10,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713102,10,leo_rain_weak,101,120,0.8416666666666667
7-7,713102,2,leo_clear_weak,100,120,0.8333333333333334
7-7,713102,2,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713102,2,leo_rain_weak,101,120,0.8416666666666667
7-7,713102,20,leo_clear_weak,100,120,0.8333333333333334
7-7,713102,20,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713102,20,leo_rain_weak,101,120,0.8416666666666667
7-7,713102,5,leo_clear_weak,100,120,0.8333333333333334
7-7,713102,5,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713102,5,leo_rain_weak,101,120,0.8416666666666667
7-7,713103,1,leo_clear_weak,103,120,0.8583333333333333
7-7,713103,1,leo_low_elev_weak,99,120,0.825
7-7,713103,1,leo_rain_weak,99,120,0.825
7-7,713103,10,leo_clear_weak,103,120,0.8583333333333333
7-7,713103,10,leo_low_elev_weak,99,120,0.825
7-7,713103,10,leo_rain_weak,99,120,0.825
7-7,713103,2,leo_clear_weak,103,120,0.8583333333333333
7-7,713103,2,leo_low_elev_weak,99,120,0.825
7-7,713103,2,leo_rain_weak,99,120,0.825
7-7,713103,20,leo_clear_weak,103,120,0.8583333333333333
7-7,713103,20,leo_low_elev_weak,99,120,0.825
7-7,713103,20,leo_rain_weak,99,120,0.825
7-7,713103,5,leo_clear_weak,103,120,0.8583333333333333
7-7,713103,5,leo_low_elev_weak,99,120,0.825
7-7,713103,5,leo_rain_weak,99,120,0.825
7-7,713104,1,leo_clear_weak,96,120,0.8
7-7,713104,1,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713104,1,leo_rain_weak,93,120,0.775
7-7,713104,10,leo_clear_weak,96,120,0.8
7-7,713104,10,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713104,10,leo_rain_weak,93,120,0.775
7-7,713104,2,leo_clear_weak,96,120,0.8
7-7,713104,2,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713104,2,leo_rain_weak,93,120,0.775
7-7,713104,20,leo_clear_weak,96,120,0.8
7-7,713104,20,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713104,20,leo_rain_weak,93,120,0.775
7-7,713104,5,leo_clear_weak,96,120,0.8
7-7,713104,5,leo_low_elev_weak,97,120,0.8083333333333333
7-7,713104,5,leo_rain_weak,93,120,0.775
7-7,713105,1,leo_clear_weak,107,120,0.8916666666666667
7-7,713105,1,leo_low_elev_weak,100,120,0.8333333333333334
7-7,713105,1,leo_rain_weak,105,120,0.875
7-7,713105,10,leo_clear_weak,107,120,0.8916666666666667
7-7,713105,10,leo_low_elev_weak,100,120,0.8333333333333334
7-7,713105,10,leo_rain_weak,105,120,0.875
7-7,713105,2,leo_clear_weak,107,120,0.8916666666666667
7-7,713105,2,leo_low_elev_weak,100,120,0.8333333333333334
7-7,713105,2,leo_rain_weak,105,120,0.875
7-7,713105,20,leo_clear_weak,107,120,0.8916666666666667
7-7,713105,20,leo_low_elev_weak,100,120,0.8333333333333334
7-7,713105,20,leo_rain_weak,105,120,0.875
7-7,713105,5,leo_clear_weak,107,120,0.8916666666666667
7-7,713105,5,leo_low_elev_weak,100,120,0.8333333333333334
7-7,713105,5,leo_rain_weak,105,120,0.875
8-8,713101,1,leo_clear_weak,88,120,0.7333333333333333
8-8,713101,1,leo_low_elev_weak,84,120,0.7
8-8,713101,1,leo_rain_weak,90,120,0.75
8-8,713101,10,leo_clear_weak,88,120,0.7333333333333333
8-8,713101,10,leo_low_elev_weak,84,120,0.7
8-8,713101,10,leo_rain_weak,90,120,0.75
8-8,713101,2,leo_clear_weak,88,120,0.7333333333333333
8-8,713101,2,leo_low_elev_weak,84,120,0.7
8-8,713101,2,leo_rain_weak,90,120,0.75
8-8,713101,20,leo_clear_weak,88,120,0.7333333333333333
8-8,713101,20,leo_low_elev_weak,84,120,0.7
8-8,713101,20,leo_rain_weak,90,120,0.75
8-8,713101,5,leo_clear_weak,88,120,0.7333333333333333
8-8,713101,5,leo_low_elev_weak,84,120,0.7
8-8,713101,5,leo_rain_weak,90,120,0.75
8-8,713102,1,leo_clear_weak,82,120,0.6833333333333333
8-8,713102,1,leo_low_elev_weak,82,120,0.6833333333333333
8-8,713102,1,leo_rain_weak,88,120,0.7333333333333333
8-8,713102,10,leo_clear_weak,82,120,0.6833333333333333
8-8,713102,10,leo_low_elev_weak,82,120,0.6833333333333333
8-8,713102,10,leo_rain_weak,88,120,0.7333333333333333
8-8,713102,2,leo_clear_weak,82,120,0.6833333333333333
8-8,713102,2,leo_low_elev_weak,82,120,0.6833333333333333
8-8,713102,2,leo_rain_weak,88,120,0.7333333333333333
8-8,713102,20,leo_clear_weak,82,120,0.6833333333333333
8-8,713102,20,leo_low_elev_weak,82,120,0.6833333333333333
8-8,713102,20,leo_rain_weak,88,120,0.7333333333333333
8-8,713102,5,leo_clear_weak,82,120,0.6833333333333333
8-8,713102,5,leo_low_elev_weak,82,120,0.6833333333333333
8-8,713102,5,leo_rain_weak,88,120,0.7333333333333333
8-8,713103,1,leo_clear_weak,93,120,0.775
8-8,713103,1,leo_low_elev_weak,74,120,0.6166666666666667
8-8,713103,1,leo_rain_weak,88,120,0.7333333333333333
8-8,713103,10,leo_clear_weak,93,120,0.775
8-8,713103,10,leo_low_elev_weak,74,120,0.6166666666666667
8-8,713103,10,leo_rain_weak,88,120,0.7333333333333333
8-8,713103,2,leo_clear_weak,93,120,0.775
8-8,713103,2,leo_low_elev_weak,74,120,0.6166666666666667
8-8,713103,2,leo_rain_weak,88,120,0.7333333333333333
8-8,713103,20,leo_clear_weak,93,120,0.775
8-8,713103,20,leo_low_elev_weak,74,120,0.6166666666666667
8-8,713103,20,leo_rain_weak,88,120,0.7333333333333333
8-8,713103,5,leo_clear_weak,93,120,0.775
8-8,713103,5,leo_low_elev_weak,74,120,0.6166666666666667
8-8,713103,5,leo_rain_weak,88,120,0.7333333333333333
8-8,713104,1,leo_clear_weak,93,120,0.775
8-8,713104,1,leo_low_elev_weak,91,120,0.7583333333333333
8-8,713104,1,leo_rain_weak,92,120,0.7666666666666667
8-8,713104,10,leo_clear_weak,93,120,0.775
8-8,713104,10,leo_low_elev_weak,91,120,0.7583333333333333
8-8,713104,10,leo_rain_weak,92,120,0.7666666666666667
8-8,713104,2,leo_clear_weak,93,120,0.775
8-8,713104,2,leo_low_elev_weak,91,120,0.7583333333333333
8-8,713104,2,leo_rain_weak,92,120,0.7666666666666667
8-8,713104,20,leo_clear_weak,93,120,0.775
8-8,713104,20,leo_low_elev_weak,91,120,0.7583333333333333
8-8,713104,20,leo_rain_weak,92,120,0.7666666666666667
8-8,713104,5,leo_clear_weak,93,120,0.775
8-8,713104,5,leo_low_elev_weak,91,120,0.7583333333333333
8-8,713104,5,leo_rain_weak,92,120,0.7666666666666667
8-8,713105,1,leo_clear_weak,87,120,0.725
8-8,713105,1,leo_low_elev_weak,84,120,0.7
8-8,713105,1,leo_rain_weak,87,120,0.725
8-8,713105,10,leo_clear_weak,87,120,0.725
8-8,713105,10,leo_low_elev_weak,84,120,0.7
8-8,713105,10,leo_rain_weak,87,120,0.725
8-8,713105,2,leo_clear_weak,87,120,0.725
8-8,713105,2,leo_low_elev_weak,84,120,0.7
8-8,713105,2,leo_rain_weak,87,120,0.725
8-8,713105,20,leo_clear_weak,87,120,0.725
8-8,713105,20,leo_low_elev_weak,84,120,0.7
8-8,713105,20,leo_rain_weak,87,120,0.725
8-8,713105,5,leo_clear_weak,87,120,0.725
8-8,713105,5,leo_low_elev_weak,84,120,0.7
8-8,713105,5,leo_rain_weak,87,120,0.725
