method_label,method,cell_id,receiver,seed,new_class_count,k_shot,scenario_count,prediction_sha256,no_leo_old_acc_before_increment_mean_3scenarios,leo_old_acc_before_increment_mean_3scenarios,delta_old_acc_before_increment_mean_3scenarios,no_leo_old_acc_after_increment_mean_3scenarios,leo_old_acc_after_increment_mean_3scenarios,delta_old_acc_after_increment_mean_3scenarios,no_leo_seen_new_acc_mean_3scenarios,leo_seen_new_acc_mean_3scenarios,delta_seen_new_acc_mean_3scenarios,no_leo_H_old_new_mean_3scenarios,leo_H_old_new_mean_3scenarios,delta_H_old_new_mean_3scenarios,no_leo_candidate_average_forgetting_mean_3scenarios,leo_candidate_average_forgetting_mean_3scenarios,delta_candidate_average_forgetting_mean_3scenarios,no_leo_min_old_class_acc_mean_3scenarios,leo_min_old_class_acc_mean_3scenarios,delta_min_old_class_acc_mean_3scenarios
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_1,20-1,713104,3,1,3,aba003500680b18bc6c6a3b62c9d270e73f69edd5950982fb4e4bf02a050bbb2,0.8166666666666668,0.8166666666666668,0.0,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_5,20-1,713104,3,5,3,aba003500680b18bc6c6a3b62c9d270e73f69edd5950982fb4e4bf02a050bbb2,0.8166666666666668,0.8166666666666668,0.0,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_10,20-1,713104,3,10,3,aba003500680b18bc6c6a3b62c9d270e73f69edd5950982fb4e4bf02a050bbb2,0.8166666666666668,0.8166666666666668,0.0,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_3__csil_official_repo__k_20,20-1,713104,3,20,3,4740405d10d4b842c729f9a8291dda6270e91dbdfc4273707e86de2a0ad8fc64,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.0,0.6333333333333333,0.3333333333333333,0.3,0.0,0.0,0.0,0.8166666666666668,0.8166666666666668,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_1,20-1,713104,20,1,3,09701d10fdd7ccdf1376f4c68d4e00fe022110d129f73be8d424c1018ed71a33,0.8166666666666668,0.8166666666666668,0.0,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,0.4000000000000001,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_5,20-1,713104,20,5,3,71a6d8d06e0f7cc8c2ef3e663d6fdeebe62ca08ea42a86c121fc25ee59175e68,0.8166666666666668,0.8166666666666668,0.0,0.0,0.0,0.0,0.11833333333333333,0.050833333333333335,0.0675,0.0,0.0,0.0,0.8166666666666668,0.8166666666666668,1.1102230246251565e-16,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_10,20-1,713104,20,10,3,6d5f34c87a66c594de13bce36b4fe41aa3e35f8037514aae0929cd92adf44fdd,0.8166666666666668,0.8166666666666668,0.0,0.5027777777777778,0.030555555555555555,0.47222222222222215,0.04833333333333334,0.05000000000000001,-0.001666666666666668,0.08779267876534425,0.01935817805383023,0.06843450071151402,0.3138888888888889,0.7861111111111111,-0.47222222222222215,0.0,0.0,0.0
CSIL,csil_official_repo,rx_20_1__seed_713104__new_20__csil_official_repo__k_20,20-1,713104,20,20,3,66ad5b19ca2d4765707e39d2dea6b2d2e841f31709a0a695d78264698722223c,0.8166666666666668,0.8166666666666668,0.0,0.5805555555555556,0.48333333333333334,0.09722222222222221,0.0075,0.050833333333333335,-0.043333333333333335,0.014364207221350081,0.09140039288617681,-0.07703618566482673,0.23611111111111113,0.3333333333333333,-0.09722222222222221,0.03333333333333333,0.0,0.03333333333333333
CSIL,csil_official_repo,rx_20_1__seed_713105__new_1__csil_official_repo__k_1,20-1,713105,1,1,3,227fd81bbc4b4f69d526304ade7093fa8a0ef7af4543f42ee91a0107220a85de,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
CSIL,csil_official_repo,rx_20_1__seed_713105__new_1__csil_official_repo__k_5,20-1,713105,1,5,3,227fd81bbc4b4f69d526304ade7093fa8a0ef7af4543f42ee91a0107220a85de,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
