run_id,title,local_report,sha256,note
phase1_adv3b02_fcr_r1r8_s392002_20260902_v3,ADV3B02-FCR R1-R8八卡并行实验v3报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392002_20260902_v3\report.md,de7168136e01e5643299ae6a50476a7ea32eb561b248a75d516501b745e99edb,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392002_20260902_v4,ADV3B02-FCR R1-R8八卡并行实验v4报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392002_20260902_v4\report.md,c4a1b6cb214802bab36f2fe0b0f1940271918ba7ecbbece9d50ba297b88409e4,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392002_20260902_v5,ADV3B02-FCR R1-R8八卡并行实验v5预登记报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392002_20260902_v5\report.md,393e7fb3626014568311b84787b277cf1f1b61ba4736414975d0af8776655129,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392002_20260902_v6,ADV3B02-FCR R1-R8八卡并行实验v6预登记报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392002_20260902_v6\report.md,236d0c01634b8b982808e4d959005960df1c1d3abc7e4fbbfe4140dedcdbb440,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v1,ADV3B02→FCR R1-R8重新发布预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v1\report.md,2f6ad485ac3de58be0b43328c31231013747e5e3b60c4aa6d8a33582278951f9,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v2,ADV3B02→FCR R1-R8重新发布v2预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v2\report.md,73ce64966ad8a1bdb6014437720675a0a268772889fdf18e4e572814eed5f74f,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v3,ADV3B02→FCR R1-R8重新发布v3预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v3\report.md,136747dd09917a7496e998f22321537b2e7bf6cca2ceb19a938cce8ff7ea4ec6,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4,ADV3B02→FCR R1-R8重新发布v4完整实验报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_r1r8_s392005_equalized_20260903_v4\report.md,10e22ac6a689ae2cef20c4f7ba90b8fe058d155028c78b9107ae1410b871e769,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v1,FCR-V2完整矩阵预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v1\report.md,dcf3540008d30e2dd0d28b98046962fcfb92818c8f95d884ceab438410526419,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v2,FCR-V2完整矩阵重发预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v2\report.md,78149f77e0737874d3529b1505e37efea00a656e658ed24464e81a892e8e0da1,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v3,FCR-V2完整矩阵V3预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_fcr_v2_complete_s392005_e200_20260903_v3\report.md,a6e08e1f1a4ca6a481bccd7debf57e8e52a85edfe4c7935f3be796474628a240,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_nmfdu_gate8_manysig392005_20260902_r1,ADV3B02-NMFDU ManySig392005八实验最小预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate8_manysig392005_20260902_r1\report.md,f6e932bdeeb0a4d943f450240171652ec7a51e302e6d3c4415076f850749174c,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_nmfdu_gate8_manysig392005_20260902_r2,ADV3B02-NMFDU Gate8 ManySig392005 r2实验预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate8_manysig392005_20260902_r2\report.md,717944b478f27e6b6445eef09f9fa46defcb3e7d88494b4c1539b42422325b54,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_nmfdu_gate8_manysig392005_20260902_r3,ADV3B02-NMFDU Gate8 ManySig392005 r3实验预登记,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate8_manysig392005_20260902_r3\report.md,8e74d9c0e34e8ffc1e19d8765f55b8000a149bba10e73668ba45f0036d971bfa,关联报告版本；不等同于独立CORE90基线
phase1_adv3b02_nmfdu_gate8_manysig392005_20260903_r4,ADV3B02-NMFDU-Gate8 ManySig r4修复与重发报告,E:\type10-7\automation_reports\CV-SincNet\phase1_adv3b02_nmfdu_gate8_manysig392005_20260903_r4\report.md,ecb04c52c04bfb2bf7dda6b9ff19cb205aee39bfe252d0c24f1538b261f3ca2a,关联报告版本；不等同于独立CORE90基线
