method,scope,scene,dimension,value,total,correct,accuracy_pct,macro_f1_pct
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,9:2,4000,2049,51.225,11.29112249958671
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,9:3,4000,3875,96.875,16.402116402116402
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,9:4,4000,3976,99.4,16.616516215312604
FCR_ADV3B02,target168k,leo_clear_weak,receiver_tx,9:5,4000,2958,73.95,14.170738718022422
FCR_ADV3B02,target168k,leo_clear_weak,tx,0,28000,15721,56.14642857142857,11.985849667970388
FCR_ADV3B02,target168k,leo_clear_weak,tx,1,28000,9949,35.53214285714286,8.738921535042644
FCR_ADV3B02,target168k,leo_clear_weak,tx,2,28000,13039,46.56785714285714,10.590738890648732
FCR_ADV3B02,target168k,leo_clear_weak,tx,3,28000,17157,61.275,12.664703146798947
FCR_ADV3B02,target168k,leo_clear_weak,tx,4,28000,23365,83.44642857142858,15.162724293455335
FCR_ADV3B02,target168k,leo_clear_weak,tx,5,28000,23867,85.23928571428571,15.338590368956497
FCR_ADV3B02,target168k,leo_low_elev_weak,day,0,42000,24265,57.773809523809526,57.64262431309126
FCR_ADV3B02,target168k,leo_low_elev_weak,day,1,42000,25672,61.12380952380953,61.65488372981475
FCR_ADV3B02,target168k,leo_low_elev_weak,day,2,42000,24053,57.26904761904762,58.15150370217397
FCR_ADV3B02,target168k,leo_low_elev_weak,day,3,42000,26117,62.18333333333334,62.95242202333443
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,0:0,7000,3728,53.25714285714286,11.583395476012925
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,0:1,7000,2010,28.714285714285715,7.436182019977802
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,0:2,7000,2617,37.385714285714286,9.07074278187931
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,0:3,7000,4410,63.0,12.883435582822086
FCR_ADV3B02,target168k,leo_low_elev_weak,day_tx,0:4,7000,5547,79.24285714285715,14.73659042002072
