run,row,scope,updates,scene,dimension,value,accuracy_pct
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,tx,0,54.300000000000004
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,tx,1,33.43333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,tx,2,40.96666666666667
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,tx,3,65.63333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,tx,4,100.0
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,clean,tx,5,3.1333333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,overall,all,33.50555555555555
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,tx,0,4.266666666666667
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,tx,1,46.400000000000006
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,tx,2,27.700000000000003
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,tx,3,48.766666666666666
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,tx,4,24.166666666666668
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_clear_weak,tx,5,49.733333333333334
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,overall,all,31.716666666666665
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,tx,0,3.833333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,tx,1,53.03333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,tx,2,23.933333333333334
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,tx,3,33.43333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,tx,4,26.466666666666665
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_low_elev_weak,tx,5,49.6
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,overall,all,32.416666666666664
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,tx,0,3.8666666666666667
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,tx,1,51.0
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,tx,2,25.266666666666666
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,tx,3,35.099999999999994
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,tx,4,27.53333333333333
PairBiCAD_P0P4_r2,P0-F1-S392002,source_LORO,4000,leo_rain_weak,tx,5,51.733333333333334
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,overall,all,47.238888888888894
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,tx,0,97.1
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,tx,1,2.3333333333333335
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,tx,2,15.5
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,tx,3,68.0
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,tx,4,100.0
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,clean,tx,5,0.5
PairBiCAD_P0P4_r2,P0-F1-S392003,source_LORO,4000,leo_clear_weak,overall,all,21.033333333333335
