receiver,seed,k_shot,old_acc_full,old_acc_light,delta_old_acc,seen_new_acc_full,seen_new_acc_light,delta_seen_new_acc,H_old_new_full,H_old_new_light,delta_H_old_new
7-7,713102,1,0.7888888888888889,0.7000000000000001,0.0888888888888888,0.9833333333333334,0.4666666666666666,0.5166666666666668,0.8725467231248185,0.5568088985822064,0.3157378245426121
7-7,713102,2,0.8888888888888888,0.763888888888889,0.12499999999999989,0.9666666666666667,0.48333333333333334,0.48333333333333334,0.9251468860164512,0.5889563435616068,0.3361905424548445
7-7,713102,5,0.8944444444444444,0.8194444444444443,0.07500000000000007,1.0,0.7083333333333334,0.29166666666666663,0.943671018712719,0.7551412599788166,0.18852975873390232
7-7,713102,10,0.9027777777777778,0.8527777777777779,0.04999999999999993,1.0,0.75,0.25,0.9482385396929232,0.795692985932237,0.15254555376068613
7-7,713102,20,0.9194444444444444,0.8888888888888888,0.030555555555555558,1.0,0.7666666666666666,0.2333333333333334,0.957736516357206,0.8215132175874839,0.13622329876972217
7-7,713103,1,0.7888888888888889,0.41944444444444445,0.3694444444444444,0.9166666666666666,0.35000000000000003,0.5666666666666667,0.8470064898824203,0.3790024101194314,0.4680040797629889
7-7,713103,2,0.8777777777777778,0.6194444444444444,0.2583333333333334,0.9666666666666667,0.6916666666666668,0.2749999999999999,0.9200373999970842,0.6534755829642016,0.2665618170328826
7-7,713103,5,0.9138888888888889,0.8416666666666667,0.07222222222222219,0.9833333333333334,0.7916666666666666,0.19166666666666676,0.9470152977253038,0.8133755702809925,0.1336397274443113
7-7,713103,10,0.9,0.9027777777777778,-0.002777777777777768,1.0,0.7916666666666666,0.20833333333333337,0.9473280980655048,0.8421614440168591,0.10516665404864567
7-7,713103,20,0.9055555555555556,0.9027777777777778,0.002777777777777768,1.0,0.8166666666666668,0.18333333333333324,0.9502980111675763,0.8569904111233843,0.09330760004419203
7-7,713104,1,0.8333333333333334,0.6805555555555557,0.15277777777777768,1.0,0.6083333333333333,0.3916666666666667,0.9084485131571106,0.6390214168567148,0.26942709630039585
7-7,713104,2,0.8722222222222222,0.8388888888888889,0.033333333333333326,1.0,0.6583333333333333,0.3416666666666667,0.9317319848293298,0.736388940769936,0.19534304405939384
7-7,713104,5,0.9194444444444444,0.9,0.019444444444444375,1.0,0.775,0.22499999999999998,0.957897486971263,0.8311919841232189,0.12670550284804405
7-7,713104,10,0.9333333333333332,0.888888888888889,0.04444444444444429,1.0,0.8416666666666667,0.15833333333333333,0.9652497180811638,0.8640966313380106,0.10115308674315315
7-7,713104,20,0.936111111111111,0.8555555555555555,0.08055555555555549,1.0,0.8916666666666666,0.10833333333333339,0.9668443847797069,0.8730864211207221,0.09375796365898481
7-7,713105,1,0.8611111111111112,0.7999999999999999,0.06111111111111123,0.9333333333333332,0.4083333333333334,0.5249999999999999,0.8943369016617734,0.5400225871934032,0.35431431446837014
7-7,713105,2,0.8638888888888889,0.8250000000000001,0.03888888888888886,0.9666666666666667,0.5583333333333332,0.40833333333333344,0.9117857042131515,0.6545408156058423,0.2572448886073092
7-7,713105,5,0.8861111111111111,0.8944444444444444,-0.008333333333333304,0.9666666666666667,0.6333333333333333,0.33333333333333337,0.9236915383765982,0.7374743773759308,0.18621716100066743
7-7,713105,10,0.9083333333333333,0.9222222222222222,-0.01388888888888884,1.0,0.725,0.275,0.9518037518037518,0.8114753067817645,0.14032844502198727
7-7,713105,20,0.9249999999999999,0.9416666666666668,-0.01666666666666683,1.0,0.7666666666666666,0.2333333333333334,0.9608845117532286,0.8434029680365297,0.11748154371669894
8-8,713101,1,0.8527777777777779,0.6194444444444445,0.2333333333333334,0.9833333333333334,0.6166666666666667,0.3666666666666667,0.9133675731806573,0.6178267890532041,0.2955407841274532
8-8,713101,2,0.8777777777777778,0.65,0.22777777777777775,0.9500000000000001,0.6333333333333333,0.31666666666666676,0.9113122171945701,0.6408828266866277,0.27042939050794246
