arm,receiver,seed,k_shot,scenario,old_acc,seen_new_acc,H_old_new,average_forgetting
singleview_fft96_strict,7-14,713101,5,leo_rain_weak,0.8416666666666667,0.65,0.7335195530726257,0.016666666666666607
singleview_fft96_strict,7-14,713102,1,leo_clear_weak,0.85,0.55,0.6678571428571429,0.050000000000000044
singleview_fft96_strict,7-14,713102,1,leo_low_elev_weak,0.7416666666666667,0.5,0.5973154362416108,0.11666666666666659
singleview_fft96_strict,7-14,713102,1,leo_rain_weak,0.7583333333333333,0.475,0.5841216216216215,0.06666666666666665
singleview_fft96_strict,7-14,713102,10,leo_clear_weak,0.9,0.9,0.9,-0.008333333333333304
singleview_fft96_strict,7-14,713102,10,leo_low_elev_weak,0.8833333333333333,0.8,0.8396039603960396,0.01666666666666672
singleview_fft96_strict,7-14,713102,10,leo_rain_weak,0.825,0.8,0.8123076923076924,0.0
singleview_fft96_strict,7-14,713102,2,leo_clear_weak,0.8583333333333333,0.575,0.6886627906976744,0.01666666666666672
singleview_fft96_strict,7-14,713102,2,leo_low_elev_weak,0.8583333333333333,0.55,0.6704142011834321,0.025000000000000022
singleview_fft96_strict,7-14,713102,2,leo_rain_weak,0.7916666666666666,0.525,0.6313291139240507,0.008333333333333415
singleview_fft96_strict,7-14,713102,20,leo_clear_weak,0.8916666666666667,0.9,0.8958139534883721,0.0
singleview_fft96_strict,7-14,713102,20,leo_low_elev_weak,0.9,0.8,0.8470588235294118,0.008333333333333304
singleview_fft96_strict,7-14,713102,20,leo_rain_weak,0.8333333333333334,0.925,0.8767772511848342,0.0
singleview_fft96_strict,7-14,713102,5,leo_clear_weak,0.9083333333333333,0.7,0.7906735751295335,-0.016666666666666607
singleview_fft96_strict,7-14,713102,5,leo_low_elev_weak,0.85,0.675,0.7524590163934426,0.033333333333333326
singleview_fft96_strict,7-14,713102,5,leo_rain_weak,0.8666666666666667,0.65,0.7428571428571429,-0.01666666666666672
singleview_fft96_strict,7-14,713103,1,leo_clear_weak,0.9083333333333333,0.5,0.6449704142011835,0.008333333333333304
singleview_fft96_strict,7-14,713103,1,leo_low_elev_weak,0.6666666666666666,0.475,0.5547445255474452,0.1166666666666667
singleview_fft96_strict,7-14,713103,1,leo_rain_weak,0.8583333333333333,0.425,0.5685064935064935,0.025000000000000022
singleview_fft96_strict,7-14,713103,10,leo_clear_weak,0.9166666666666666,0.9,0.908256880733945,0.01666666666666672
singleview_fft96_strict,7-14,713103,10,leo_low_elev_weak,0.925,0.925,0.925,0.0
singleview_fft96_strict,7-14,713103,10,leo_rain_weak,0.9083333333333333,0.725,0.8063775510204082,-0.008333333333333304
singleview_fft96_strict,7-14,713103,2,leo_clear_weak,0.8916666666666667,0.8,0.8433497536945812,0.033333333333333326
singleview_fft96_strict,7-14,713103,2,leo_low_elev_weak,0.8833333333333333,0.55,0.6779069767441861,0.025000000000000022
singleview_fft96_strict,7-14,713103,2,leo_rain_weak,0.8416666666666667,0.7,0.7643243243243243,0.033333333333333326
singleview_fft96_strict,7-14,713103,20,leo_clear_weak,0.9416666666666667,0.875,0.9071100917431193,0.0
singleview_fft96_strict,7-14,713103,20,leo_low_elev_weak,0.9333333333333333,0.9,0.9163636363636364,0.0
singleview_fft96_strict,7-14,713103,20,leo_rain_weak,0.9083333333333333,0.8,0.8507317073170731,-0.008333333333333304
singleview_fft96_strict,7-14,713103,5,leo_clear_weak,0.9166666666666666,0.8,0.854368932038835,0.01666666666666672
singleview_fft96_strict,7-14,713103,5,leo_low_elev_weak,0.8666666666666667,0.55,0.6729411764705883,0.033333333333333326
singleview_fft96_strict,7-14,713103,5,leo_rain_weak,0.8833333333333333,0.675,0.76524064171123,0.01666666666666672
singleview_fft96_strict,7-14,713104,1,leo_clear_weak,0.7333333333333333,0.875,0.7979274611398963,0.1166666666666667
singleview_fft96_strict,7-14,713104,1,leo_low_elev_weak,0.6416666666666667,0.7,0.6695652173913043,0.08333333333333326
singleview_fft96_strict,7-14,713104,1,leo_rain_weak,0.675,0.675,0.675,0.08333333333333326
singleview_fft96_strict,7-14,713104,10,leo_clear_weak,0.8666666666666667,0.875,0.8708133971291866,0.033333333333333326
singleview_fft96_strict,7-14,713104,10,leo_low_elev_weak,0.85,0.825,0.8373134328358209,0.0
singleview_fft96_strict,7-14,713104,10,leo_rain_weak,0.8416666666666667,0.775,0.806958762886598,0.033333333333333326
singleview_fft96_strict,7-14,713104,2,leo_clear_weak,0.825,0.85,0.8373134328358209,0.05833333333333335
