arm,experiment_id,receiver,seed,k_shot,old_acc_strict,old_acc_compatibility,delta_old_acc,seen_new_acc_strict,seen_new_acc_compatibility,delta_seen_new_acc,H_old_new_strict,H_old_new_compatibility,delta_H_old_new
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713101,7-14,713101,5,0.9249999999999999,0.9083333333333333,0.016666666666666607,0.9666666666666667,0.9666666666666667,0.0,0.9452954296661193,0.936583689322026,0.008711740344093388
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713102,7-14,713102,1,0.9166666666666666,0.9166666666666666,0.0,0.9666666666666667,0.9666666666666667,0.0,0.9405757984705353,0.9407642580546237,-0.00018845958408841845
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713102,7-14,713102,10,0.9305555555555557,0.9166666666666666,0.013888888888889062,1.0,1.0,0.0,0.9640116678743288,0.9564301893666265,0.0075814785077022995
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713102,7-14,713102,2,0.9222222222222222,0.9194444444444444,0.002777777777777768,0.9666666666666667,0.9666666666666667,0.0,0.9437837167803363,0.9422988434166779,0.0014848733636584344
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713102,7-14,713102,20,0.9361111111111112,0.9277777777777777,0.008333333333333526,1.0,1.0,0.0,0.9669337754444137,0.9625059272381534,0.004427848206260299
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713102,7-14,713102,5,0.9250000000000002,0.9138888888888889,0.011111111111111294,0.9666666666666667,0.9666666666666667,0.0,0.9450478360072712,0.9389452748386308,0.006102561168640386
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713103,7-14,713103,1,0.8888888888888888,0.8805555555555555,0.008333333333333304,0.9666666666666667,0.9833333333333334,-0.01666666666666672,0.9252439605485604,0.9285571892778527,-0.0033132287292922946
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k10_seed713103,7-14,713103,10,0.9194444444444444,0.9027777777777778,0.016666666666666607,1.0,1.0,0.0,0.957974874490301,0.9487791199581593,0.00919575453214172
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k2_seed713103,7-14,713103,2,0.9138888888888889,0.9027777777777778,0.011111111111111072,0.9833333333333334,0.9833333333333334,0.0,0.9470345239684447,0.9409182839103659,0.006116240058078759
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k20_seed713103,7-14,713103,20,0.9222222222222222,0.9166666666666666,0.005555555555555536,1.0,1.0,0.0,0.959454821212219,0.9564821143768513,0.0029727068353677666
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k5_seed713103,7-14,713103,5,0.9138888888888889,0.8916666666666666,0.022222222222222254,0.9833333333333334,0.9833333333333334,0.0,0.9469754689695989,0.9348798003978557,0.012095668571743268
full_legacy_oracle_strict,cvs_qknnv42_stage2c_rx7-14_k1_seed713104,7-14,713104,1,0.8833333333333333,0.8472222222222223,0.03611111111111098,0.7833333333333333,0.7666666666666666,0.01666666666666672,0.8222862945635224,0.8017174082747854,0.020568886288736987
