method,new_tx_ids,old_acc,seen_new_acc,min_seen_new_class_acc,H_old_new,passes_joint_target,per_new_acc,support_count,old_query_count,new_query_count
knn1,"1-16,10-4",0.8458333333333333,0.65,0.65,0.7350974930362117,True,"{""1-16"": 0.65, ""10-4"": 0.65}",80,240,80
knn1,"1-8,6-6",0.8416666666666667,0.6625000000000001,0.65,0.7414127423822715,True,"{""1-8"": 0.65, ""6-6"": 0.675}",80,240,80
knn3,"13-14,6-6",0.8416666666666667,0.6625000000000001,0.65,0.7414127423822715,True,"{""13-14"": 0.65, ""6-6"": 0.675}",80,240,80
knn1,"10-4,6-6",0.8333333333333334,0.7125,0.65,0.7681940700808625,True,"{""10-4"": 0.65, ""6-6"": 0.775}",80,240,80
knn1,"2-7,7-10",0.825,0.675,0.65,0.7425,True,"{""2-7"": 0.7, ""7-10"": 0.65}",80,240,80
knn1,"12-20,7-10",0.825,0.6625000000000001,0.65,0.734873949579832,True,"{""12-20"": 0.675, ""7-10"": 0.65}",80,240,80
knn1,"1-10,2-16",0.8208333333333333,0.6625000000000001,0.65,0.7332162921348314,True,"{""1-10"": 0.675, ""2-16"": 0.65}",80,240,80
knn1,"18-9,7-10",0.8208333333333333,0.6625000000000001,0.65,0.7332162921348314,True,"{""18-9"": 0.675, ""7-10"": 0.65}",80,240,80
knn1,"2-16,7-10",0.8208333333333333,0.65,0.65,0.7254957507082154,True,"{""2-16"": 0.65, ""7-10"": 0.65}",80,240,80
knn1,"3-8,7-10",0.8166666666666667,0.7375,0.65,0.7750670241286863,True,"{""3-8"": 0.825, ""7-10"": 0.65}",80,240,80
knn1,"1-10,2-13",0.8166666666666667,0.6875,0.65,0.7465373961218836,True,"{""1-10"": 0.65, ""2-13"": 0.725}",80,240,80
knn1,"2-13,7-10",0.8166666666666667,0.6875,0.65,0.7465373961218836,True,"{""2-13"": 0.725, ""7-10"": 0.65}",80,240,80
knn1,"1-8,7-10",0.8083333333333333,0.6875,0.65,0.7430362116991645,True,"{""1-8"": 0.725, ""7-10"": 0.65}",80,240,80
knn1,"19-9,7-10",0.8083333333333333,0.675,0.65,0.7356741573033708,True,"{""19-9"": 0.7, ""7-10"": 0.65}",80,240,80
knn1,"19-3,7-10",0.8041666666666667,0.7375,0.65,0.7693918918918919,True,"{""19-3"": 0.825, ""7-10"": 0.65}",80,240,80
knn1,"1-10,10-4",0.8041666666666667,0.6625000000000001,0.65,0.7264914772727273,True,"{""1-10"": 0.675, ""10-4"": 0.65}",80,240,80
proto,"12-7,3-13",0.8041666666666667,0.6625000000000001,0.65,0.7264914772727273,True,"{""12-7"": 0.675, ""3-13"": 0.65}",80,240,80
knn1,"18-15,7-10",0.8041666666666667,0.6625000000000001,0.65,0.7264914772727273,True,"{""18-15"": 0.675, ""7-10"": 0.65}",80,240,80
knn1,"20-3,7-10",0.8041666666666667,0.6625000000000001,0.65,0.7264914772727273,True,"{""20-3"": 0.675, ""7-10"": 0.65}",80,240,80
knn1,"1-10,12-19",0.8041666666666667,0.65,0.65,0.7189111747851004,True,"{""1-10"": 0.65, ""12-19"": 0.65}",80,240,80
knn1,"10-4,7-10",0.8041666666666667,0.65,0.65,0.7189111747851004,True,"{""10-4"": 0.65, ""7-10"": 0.65}",80,240,80
proto,"6-6,8-3",0.6958333333333333,0.75,0.75,0.7219020172910663,False,"{""6-6"": 0.75, ""8-3"": 0.75}",80,240,80
