workspace_path,git_mirror,status,bytes
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/build_stage2c_cache_binding_index.py,,LOCAL_ONLY_KEEP,8124
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/stage2c_feature_completion_controller.py,,LOCAL_ONLY_KEEP,18055
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/stage2c_package_completion_controller.py,,LOCAL_ONLY_KEEP,17192
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/stage2c_sidecar_completion_controller.py,,LOCAL_ONLY_KEEP,13507
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/verify_input_completion_summary.py,,LOCAL_ONLY_KEEP,12637
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/verify_stage2c_plan_identity.py,,LOCAL_ONLY_KEEP,6974
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v2_0903163e/release_evidence/verify_states_completion.py,,LOCAL_ONLY_KEEP,7336
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v3_47212437/release_evidence/build_stage2c_cache_binding_index.py,,LOCAL_ONLY_KEEP,8124
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v3_47212437/release_evidence/stage2c_feature_completion_controller.py,,LOCAL_ONLY_KEEP,18055
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v3_47212437/release_evidence/stage2c_package_completion_controller.py,,LOCAL_ONLY_KEEP,17192
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v3_47212437/release_evidence/stage2c_sidecar_completion_controller.py,,LOCAL_ONLY_KEEP,13507
code/runner_tmp_phase1_clic12_20260812/extract/automation_reports/CV-SincNet/cvs_full_ablation_phase2c_t1_20260730_v3_47212437/release_evidence/verify_input_completion_summary.py,,LOCAL_ONLY_KEEP,12637
