row,scenario,rx_idx,rx_label,tx_acc,tx_correct,tx_total
P3,leo_rain_weak,0,1-1,74.94166666666666,17986,24000
P3,leo_rain_weak,2,14-7,63.0875,15141,24000
P3,leo_rain_weak,5,2-1,83.84166666666667,20122,24000
P3,leo_rain_weak,7,20-1,62.7625,15063,24000
P3,leo_rain_weak,9,7-14,72.53333333333333,17408,24000
P3,leo_rain_weak,10,7-7,77.84166666666667,18682,24000
P3,leo_rain_weak,11,8-8,71.4625,17151,24000
P4,clean,0,1-1,82.10416666666667,19705,24000
P4,clean,2,14-7,80.12916666666666,19231,24000
P4,clean,5,2-1,92.52083333333333,22205,24000
P4,clean,7,20-1,70.77083333333333,16985,24000
P4,clean,9,7-14,83.37083333333334,20009,24000
P4,clean,10,7-7,89.99166666666666,21598,24000
P4,clean,11,8-8,78.68333333333334,18884,24000
P4,leo_clear_weak,0,1-1,77.14166666666667,18514,24000
P4,leo_clear_weak,2,14-7,62.02916666666667,14887,24000
P4,leo_clear_weak,5,2-1,85.13333333333334,20432,24000
P4,leo_clear_weak,7,20-1,61.333333333333336,14720,24000
P4,leo_clear_weak,9,7-14,71.43333333333334,17144,24000
P4,leo_clear_weak,10,7-7,80.26666666666667,19264,24000
P4,leo_clear_weak,11,8-8,70.7625,16983,24000
P4,leo_low_elev_weak,0,1-1,74.55416666666666,17893,24000
P4,leo_low_elev_weak,2,14-7,61.07083333333333,14657,24000
P4,leo_low_elev_weak,5,2-1,83.69583333333334,20087,24000
P4,leo_low_elev_weak,7,20-1,60.8125,14595,24000
P4,leo_low_elev_weak,9,7-14,71.43333333333334,17144,24000
P4,leo_low_elev_weak,10,7-7,77.8,18672,24000
P4,leo_low_elev_weak,11,8-8,69.54166666666667,16690,24000
P4,leo_rain_weak,0,1-1,74.57916666666667,17899,24000
P4,leo_rain_weak,2,14-7,61.6375,14793,24000
P4,leo_rain_weak,5,2-1,83.71666666666667,20092,24000
P4,leo_rain_weak,7,20-1,60.77916666666667,14587,24000
P4,leo_rain_weak,9,7-14,71.7,17208,24000
P4,leo_rain_weak,10,7-7,77.23333333333333,18536,24000
P4,leo_rain_weak,11,8-8,70.325,16878,24000
E1,clean,0,1-1,82.92916666666666,19903,24000
E1,clean,2,14-7,79.57916666666667,19099,24000
E1,clean,5,2-1,92.6125,22227,24000
E1,clean,7,20-1,73.15416666666667,17557,24000
E1,clean,9,7-14,81.63333333333334,19592,24000
E1,clean,10,7-7,89.99166666666666,21598,24000
E1,clean,11,8-8,78.75,18900,24000
E1,leo_clear_weak,0,1-1,78.51666666666667,18844,24000
E1,leo_clear_weak,2,14-7,63.4,15216,24000
E1,leo_clear_weak,5,2-1,85.05833333333334,20414,24000
E1,leo_clear_weak,7,20-1,63.4625,15231,24000
E1,leo_clear_weak,9,7-14,71.52083333333333,17165,24000
E1,leo_clear_weak,10,7-7,80.7875,19389,24000
E1,leo_clear_weak,11,8-8,71.82916666666667,17239,24000
E1,leo_low_elev_weak,0,1-1,75.46666666666667,18112,24000
E1,leo_low_elev_weak,2,14-7,61.725,14814,24000
E1,leo_low_elev_weak,5,2-1,83.55,20052,24000
E1,leo_low_elev_weak,7,20-1,62.62083333333333,15029,24000
E1,leo_low_elev_weak,9,7-14,71.59583333333333,17183,24000
E1,leo_low_elev_weak,10,7-7,78.54166666666667,18850,24000
E1,leo_low_elev_weak,11,8-8,70.68333333333334,16964,24000
E1,leo_rain_weak,0,1-1,75.65,18156,24000
E1,leo_rain_weak,2,14-7,62.583333333333336,15020,24000
E1,leo_rain_weak,5,2-1,83.60416666666667,20065,24000
E1,leo_rain_weak,7,20-1,63.05,15132,24000
E1,leo_rain_weak,9,7-14,71.82083333333334,17237,24000
E1,leo_rain_weak,10,7-7,77.84583333333333,18683,24000
E1,leo_rain_weak,11,8-8,71.4625,17151,24000
R1,clean,0,1-1,82.2875,19749,24000
R1,clean,2,14-7,80.9375,19425,24000
R1,clean,5,2-1,92.81666666666666,22276,24000
R1,clean,7,20-1,71.70833333333333,17210,24000
R1,clean,9,7-14,82.94166666666666,19906,24000
R1,clean,10,7-7,89.97916666666667,21595,24000
R1,clean,11,8-8,78.52916666666667,18847,24000
R1,leo_clear_weak,0,1-1,77.81666666666666,18676,24000
R1,leo_clear_weak,2,14-7,64.58333333333333,15500,24000
R1,leo_clear_weak,5,2-1,85.675,20562,24000
R1,leo_clear_weak,7,20-1,63.045833333333334,15131,24000
R1,leo_clear_weak,9,7-14,71.29583333333333,17111,24000
R1,leo_clear_weak,10,7-7,80.5375,19329,24000
R1,leo_clear_weak,11,8-8,71.625,17190,24000
R1,leo_low_elev_weak,0,1-1,74.9375,17985,24000
R1,leo_low_elev_weak,2,14-7,62.8,15072,24000
R1,leo_low_elev_weak,5,2-1,84.2125,20211,24000
R1,leo_low_elev_weak,7,20-1,62.6375,15033,24000
R1,leo_low_elev_weak,9,7-14,71.20833333333333,17090,24000
R1,leo_low_elev_weak,10,7-7,78.01666666666667,18724,24000
R1,leo_low_elev_weak,11,8-8,70.5375,16929,24000
R1,leo_rain_weak,0,1-1,75.00416666666666,18001,24000
R1,leo_rain_weak,2,14-7,63.44166666666667,15226,24000
R1,leo_rain_weak,5,2-1,84.175,20202,24000
R1,leo_rain_weak,7,20-1,62.67916666666667,15043,24000
R1,leo_rain_weak,9,7-14,71.275,17106,24000
R1,leo_rain_weak,10,7-7,77.25833333333334,18542,24000
R1,leo_rain_weak,11,8-8,71.325,17118,24000
