row,scene,path,group,group_value,correct,count,accuracy
B0,leo_clear_weak,raw,receiver_day,5:3,3482,6000,58.03333333333333
B0,leo_clear_weak,raw,receiver_day,7:0,3062,6000,51.03333333333333
B0,leo_clear_weak,raw,receiver_day,7:1,2682,6000,44.7
B0,leo_clear_weak,raw,receiver_day,7:2,1724,6000,28.733333333333334
B0,leo_clear_weak,raw,receiver_day,7:3,2719,6000,45.31666666666667
B0,leo_clear_weak,raw,receiver_day,9:0,3097,6000,51.61666666666667
B0,leo_clear_weak,raw,receiver_day,9:1,3863,6000,64.38333333333334
B0,leo_clear_weak,raw,receiver_day,9:2,3661,6000,61.016666666666666
B0,leo_clear_weak,raw,receiver_day,9:3,4259,6000,70.98333333333333
B0,leo_clear_weak,raw,receiver_day,10:0,3125,6000,52.083333333333336
B0,leo_clear_weak,raw,receiver_day,10:1,3057,6000,50.95
B0,leo_clear_weak,raw,receiver_day,10:2,2672,6000,44.53333333333333
B0,leo_clear_weak,raw,receiver_day,10:3,3212,6000,53.53333333333333
B0,leo_clear_weak,raw,receiver_day,11:0,3007,6000,50.11666666666667
B0,leo_clear_weak,raw,receiver_day,11:1,3370,6000,56.166666666666664
B0,leo_clear_weak,raw,receiver_day,11:2,2888,6000,48.13333333333333
B0,leo_clear_weak,raw,receiver_day,11:3,3438,6000,57.3
B0,leo_clear_weak,raw,tx,0,7006,28000,25.021428571428572
B0,leo_clear_weak,raw,tx,1,10344,28000,36.94285714285714
B0,leo_clear_weak,raw,tx,2,14421,28000,51.503571428571426
B0,leo_clear_weak,raw,tx,3,16142,28000,57.65
B0,leo_clear_weak,raw,tx,4,16686,28000,59.59285714285714
B0,leo_clear_weak,raw,tx,5,26008,28000,92.88571428571429
B0,leo_low_elev_weak,raw,receiver,0,14998,24000,62.49166666666667
B0,leo_low_elev_weak,raw,receiver,2,9528,24000,39.7
B0,leo_low_elev_weak,raw,receiver,5,14800,24000,61.666666666666664
B0,leo_low_elev_weak,raw,receiver,7,9754,24000,40.641666666666666
B0,leo_low_elev_weak,raw,receiver,9,14704,24000,61.266666666666666
B0,leo_low_elev_weak,raw,receiver,10,11756,24000,48.983333333333334
B0,leo_low_elev_weak,raw,receiver,11,12231,24000,50.9625
B0,leo_low_elev_weak,raw,day,0,20632,42000,49.12380952380953
B0,leo_low_elev_weak,raw,day,1,22876,42000,54.46666666666667
B0,leo_low_elev_weak,raw,day,2,21554,42000,51.319047619047616
B0,leo_low_elev_weak,raw,day,3,22709,42000,54.069047619047616
B0,leo_low_elev_weak,raw,receiver_day,0:0,3235,6000,53.916666666666664
B0,leo_low_elev_weak,raw,receiver_day,0:1,4049,6000,67.48333333333333
B0,leo_low_elev_weak,raw,receiver_day,0:2,4072,6000,67.86666666666666
B0,leo_low_elev_weak,raw,receiver_day,0:3,3642,6000,60.7
B0,leo_low_elev_weak,raw,receiver_day,2:0,2089,6000,34.81666666666667
B0,leo_low_elev_weak,raw,receiver_day,2:1,2262,6000,37.7
B0,leo_low_elev_weak,raw,receiver_day,2:2,2678,6000,44.63333333333333
B0,leo_low_elev_weak,raw,receiver_day,2:3,2499,6000,41.65
B0,leo_low_elev_weak,raw,receiver_day,5:0,3463,6000,57.71666666666667
B0,leo_low_elev_weak,raw,receiver_day,5:1,4051,6000,67.51666666666667
B0,leo_low_elev_weak,raw,receiver_day,5:2,3938,6000,65.63333333333334
B0,leo_low_elev_weak,raw,receiver_day,5:3,3348,6000,55.8
B0,leo_low_elev_weak,raw,receiver_day,7:0,2869,6000,47.81666666666667
B0,leo_low_elev_weak,raw,receiver_day,7:1,2551,6000,42.516666666666666
B0,leo_low_elev_weak,raw,receiver_day,7:2,1779,6000,29.65
B0,leo_low_elev_weak,raw,receiver_day,7:3,2555,6000,42.583333333333336
B0,leo_low_elev_weak,raw,receiver_day,9:0,3107,6000,51.78333333333333
B0,leo_low_elev_weak,raw,receiver_day,9:1,3755,6000,62.583333333333336
B0,leo_low_elev_weak,raw,receiver_day,9:2,3616,6000,60.266666666666666
B0,leo_low_elev_weak,raw,receiver_day,9:3,4226,6000,70.43333333333334
B0,leo_low_elev_weak,raw,receiver_day,10:0,2959,6000,49.31666666666667
B0,leo_low_elev_weak,raw,receiver_day,10:1,3030,6000,50.5
B0,leo_low_elev_weak,raw,receiver_day,10:2,2663,6000,44.38333333333333
B0,leo_low_elev_weak,raw,receiver_day,10:3,3104,6000,51.733333333333334
B0,leo_low_elev_weak,raw,receiver_day,11:0,2910,6000,48.5
B0,leo_low_elev_weak,raw,receiver_day,11:1,3178,6000,52.96666666666667
B0,leo_low_elev_weak,raw,receiver_day,11:2,2808,6000,46.8
B0,leo_low_elev_weak,raw,receiver_day,11:3,3335,6000,55.583333333333336
B0,leo_low_elev_weak,raw,tx,0,6955,28000,24.839285714285715
B0,leo_low_elev_weak,raw,tx,1,9747,28000,34.81071428571428
B0,leo_low_elev_weak,raw,tx,2,13784,28000,49.22857142857143
B0,leo_low_elev_weak,raw,tx,3,14986,28000,53.52142857142857
B0,leo_low_elev_weak,raw,tx,4,16561,28000,59.14642857142857
B0,leo_low_elev_weak,raw,tx,5,25738,28000,91.92142857142858
B0,leo_rain_weak,raw,receiver,0,15068,24000,62.78333333333333
B0,leo_rain_weak,raw,receiver,2,9762,24000,40.675
B0,leo_rain_weak,raw,receiver,5,14744,24000,61.43333333333333
B0,leo_rain_weak,raw,receiver,7,9723,24000,40.5125
B0,leo_rain_weak,raw,receiver,9,14509,24000,60.454166666666666
B0,leo_rain_weak,raw,receiver,10,11899,24000,49.579166666666666
B0,leo_rain_weak,raw,receiver,11,12385,24000,51.604166666666664
B0,leo_rain_weak,raw,day,0,20830,42000,49.595238095238095
B0,leo_rain_weak,raw,day,1,22949,42000,54.64047619047619
B0,leo_rain_weak,raw,day,2,21605,42000,51.44047619047619
B0,leo_rain_weak,raw,day,3,22706,42000,54.06190476190476
B0,leo_rain_weak,raw,receiver_day,0:0,3300,6000,55.0
B0,leo_rain_weak,raw,receiver_day,0:1,4101,6000,68.35
B0,leo_rain_weak,raw,receiver_day,0:2,4023,6000,67.05
B0,leo_rain_weak,raw,receiver_day,0:3,3644,6000,60.733333333333334
B0,leo_rain_weak,raw,receiver_day,2:0,2139,6000,35.65
B0,leo_rain_weak,raw,receiver_day,2:1,2379,6000,39.65
B0,leo_rain_weak,raw,receiver_day,2:2,2759,6000,45.983333333333334
B0,leo_rain_weak,raw,receiver_day,2:3,2485,6000,41.416666666666664
B0,leo_rain_weak,raw,receiver_day,5:0,3420,6000,57.0
