row,epoch,family,metric,value
B0,6,LOSS-AUX-RAW,gap_pa,0.0
B0,6,LOSS-AUX-RAW,cos_joint_pa,nan
B0,6,LOSS-AUX-RAW,cos_imp_pa,nan
B0,6,LOSS-AUX-W,cls_pa,0.0
B0,6,LOSS-AUX-W,cls_dac,0.0
B0,6,LOSS-AUX-W,pa_joint_inv,0.0
B0,6,LOSS-AUX-W,pa_kl,0.0
B0,6,LOSS-AUX-W,dac_reg,0.0
B0,6,LOSS-AUX-W,pa_reg,0.0
B0,6,LOSS-SAT-RAW,cls_sat,8.5666
B0,6,LOSS-SAT-RAW,sat_cons,0.0
B0,6,LOSS-SAT-RAW,sat_cos,nan
B0,6,LOSS-SAT-W,cls_sat,0.0
B0,6,LOSS-SAT-W,sat_cons,0.0
B0,6,LOSS-DG-RAW,proto,0.0
B0,6,LOSS-DG-RAW,proto_cos,nan
B0,6,LOSS-DG-RAW,supcon,0.0
B0,6,LOSS-DG-RAW,fishr,0.0
B0,6,LOSS-DG-RAW,feature_norm,11.348
B0,6,LOSS-DG-RAW,z_id_norm,3.1239
B0,6,LOSS-DG-W,proto,0.0
B0,6,LOSS-DG-W,supcon,0.0
B0,6,LOSS-DG-W,fishr,0.0
B0,6,LOSS-DG-W,ow_feat,0.0
B0,6,LOSS-DG-W,feature_norm,0.0
B0,6,LOSS-OW-FEAT,loss,0.0
B0,6,LOSS-OW-FEAT,compact,0.0
B0,6,LOSS-OW-FEAT,inter,0.0
B0,6,LOSS-OW-FEAT,sample_margin,0.0
B0,6,LOSS-OW-FEAT,domain_align,0.0
B0,6,LOSS-OW-FEAT,active_cls,0.0
B0,6,LOSS-OW-FEAT,pos_deg,nan
B0,6,LOSS-OW-FEAT,min_inter_deg,nan
B0,6,LOSS-META-SSL,tx,0.0
B0,6,LOSS-META-SSL,proto,0.0
B0,6,LOSS-META-SSL,dom,0.0
B0,6,LOSS-META-SSL,adv,0.0
B0,6,LOSS-META-SSL,coverage,0.0
B0,6,LOSS-META-SSL,accepted,0.0
B0,6,LOSS-META-SSL,proto_agree,nan
B0,6,LOSS-META-SSL,teacher_conf,nan
B0,6,LOSS-META-SSL,active_proto,0.0
B0,6,LOSS-META-SSL-W,tx,0.0
B0,6,LOSS-META-SSL-W,proto,0.0
B0,6,LOSS-META-SSL-W,dom,0.0
B0,6,LOSS-META-SSL-W,adv,0.0
B0,6,LOSS-WEIGHT,dom,1.0
B0,6,LOSS-WEIGHT,adv,0.7
B0,6,LOSS-WEIGHT,orth,0.5
B0,6,LOSS-WEIGHT,cons,0.0
B0,6,LOSS-WEIGHT,group_ce,0.5
B0,6,LOSS-WEIGHT,aux_scale,0.2
