method,scene,bin,count,mean_confidence,accuracy
diagonal_gaussian,leo_rain_weak,13,379,0.9021955132484436,0.3773086965084076
diagonal_gaussian,leo_rain_weak,14,166786,0.9998205304145813,0.3696053624153137
linear_ridge,clean,0,0,,
linear_ridge,clean,1,0,,
linear_ridge,clean,2,3467,0.1891566962003708,0.28583788871765137
linear_ridge,clean,3,28964,0.24230121076107025,0.6183192729949951
linear_ridge,clean,4,83518,0.3036925494670868,0.8032519817352295
linear_ridge,clean,5,50687,0.35341939330101013,0.761299729347229
linear_ridge,clean,6,1286,0.41548988223075867,0.4269051253795624
linear_ridge,clean,7,75,0.48513728380203247,0.013333333656191826
linear_ridge,clean,8,2,0.5656951665878296,0.0
linear_ridge,clean,9,1,0.6231356859207153,0.0
linear_ridge,clean,10,0,,
linear_ridge,clean,11,0,,
linear_ridge,clean,12,0,,
linear_ridge,clean,13,0,,
linear_ridge,clean,14,0,,
linear_ridge,leo_clear_weak,0,0,,
linear_ridge,leo_clear_weak,1,0,,
linear_ridge,leo_clear_weak,2,15086,0.1884898692369461,0.22795969247817993
linear_ridge,leo_clear_weak,3,64875,0.23665869235992432,0.48453179001808167
linear_ridge,leo_clear_weak,4,65855,0.29670092463493347,0.6329208016395569
linear_ridge,leo_clear_weak,5,19859,0.35715317726135254,0.568105161190033
linear_ridge,leo_clear_weak,6,1988,0.41970929503440857,0.47585514187812805
linear_ridge,leo_clear_weak,7,241,0.4932873547077179,0.4066390097141266
linear_ridge,leo_clear_weak,8,81,0.5588376522064209,0.3086419701576233
linear_ridge,leo_clear_weak,9,15,0.6194111108779907,0.06666667014360428
linear_ridge,leo_clear_weak,10,0,,
linear_ridge,leo_clear_weak,11,0,,
linear_ridge,leo_clear_weak,12,0,,
linear_ridge,leo_clear_weak,13,0,,
linear_ridge,leo_clear_weak,14,0,,
linear_ridge,leo_low_elev_weak,0,0,,
linear_ridge,leo_low_elev_weak,1,0,,
linear_ridge,leo_low_elev_weak,2,16664,0.18870219588279724,0.23697791993618011
linear_ridge,leo_low_elev_weak,3,69264,0.2355504184961319,0.4756583571434021
linear_ridge,leo_low_elev_weak,4,63335,0.29636186361312866,0.6224678158760071
linear_ridge,leo_low_elev_weak,5,16846,0.35631418228149414,0.5896948575973511
