method,scene,requested_coverage,attained_coverage,risk,threshold
diagonal_gaussian,leo_low_elev_weak,0.9,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,0.95,0.9560833333333333,0.6337488015340365,1.0
diagonal_gaussian,leo_low_elev_weak,1.0,1.0,0.6340535714285714,0.5002059936523438
diagonal_gaussian,leo_rain_weak,0.1,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.2,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.3,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.4,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.5,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.6,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.7,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.8,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.9,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,0.95,0.955595238095238,0.630397408745484,1.0
diagonal_gaussian,leo_rain_weak,1.0,1.0,0.6304464285714286,0.500457763671875
linear_ridge,clean,0.1,0.1,0.36869047619047624,0.3596223294734955
linear_ridge,clean,0.2,0.2,0.3001190476190476,0.3454681932926178
linear_ridge,clean,0.3,0.3,0.2510515873015873,0.33435630798339844
linear_ridge,clean,0.4,0.4,0.22303571428571434,0.32396599650382996
linear_ridge,clean,0.5,0.5,0.21120238095238097,0.31250855326652527
linear_ridge,clean,0.6,0.6,0.20620039682539681,0.30031895637512207
linear_ridge,clean,0.7,0.7,0.20789115646258505,0.2852875888347626
linear_ridge,clean,0.8,0.8,0.21610863095238098,0.26800936460494995
linear_ridge,clean,0.9,0.9,0.22503306878306883,0.2439706027507782
linear_ridge,clean,0.95,0.95,0.23629699248120306,0.22228026390075684
linear_ridge,clean,1.0,1.0,0.2552142857142857,0.170009046792984
linear_ridge,leo_clear_weak,0.1,0.1,0.45571428571428574,0.3431711494922638
linear_ridge,leo_clear_weak,0.2,0.2,0.4195238095238095,0.3175662159919739
linear_ridge,leo_clear_weak,0.3,0.3,0.3981944444444444,0.29972246289253235
linear_ridge,leo_clear_weak,0.4,0.4,0.38763392857142853,0.28447312116622925
linear_ridge,leo_clear_weak,0.5,0.5,0.3858095238095238,0.2700469493865967
linear_ridge,leo_clear_weak,0.6,0.6,0.39010912698412703,0.2557733356952667
linear_ridge,leo_clear_weak,0.7,0.7,0.3999829931972789,0.24080593883991241
linear_ridge,leo_clear_weak,0.8,0.8,0.41540178571428577,0.22409355640411377
linear_ridge,leo_clear_weak,0.9,0.9,0.4381481481481482,0.20237182080745697
linear_ridge,leo_clear_weak,0.95,0.95,0.45333333333333337,0.1901533603668213
linear_ridge,leo_clear_weak,1.0,1.0,0.4707976190476191,0.16872413456439972
linear_ridge,leo_low_elev_weak,0.1,0.1,0.42500000000000004,0.3369702100753784
linear_ridge,leo_low_elev_weak,0.2,0.2,0.397797619047619,0.31241145730018616
linear_ridge,leo_low_elev_weak,0.3,0.3,0.3838492063492064,0.2948763966560364
linear_ridge,leo_low_elev_weak,0.4,0.4,0.3823511904761905,0.27962034940719604
linear_ridge,leo_low_elev_weak,0.5,0.5,0.3889880952380952,0.2649836540222168
linear_ridge,leo_low_elev_weak,0.6,0.6,0.3979365079365079,0.2506248950958252
linear_ridge,leo_low_elev_weak,0.7,0.7,0.4106802721088435,0.23577964305877686
linear_ridge,leo_low_elev_weak,0.8,0.8,0.4281026785714286,0.21953018009662628
linear_ridge,leo_low_elev_weak,0.9,0.9,0.450026455026455,0.20015400648117065
linear_ridge,leo_low_elev_weak,0.95,0.95,0.46464912280701753,0.18942487239837646
linear_ridge,leo_low_elev_weak,1.0,1.0,0.4812321428571429,0.16944140195846558
linear_ridge,leo_rain_weak,0.1,0.1,0.41327380952380954,0.33749836683273315
linear_ridge,leo_rain_weak,0.2,0.2,0.387172619047619,0.31309905648231506
linear_ridge,leo_rain_weak,0.3,0.3,0.37422619047619043,0.2958731949329376
linear_ridge,leo_rain_weak,0.4,0.4,0.37422619047619043,0.2807272970676422
linear_ridge,leo_rain_weak,0.5,0.5000059523809524,0.37970976535993617,0.2661486268043518
linear_ridge,leo_rain_weak,0.6,0.6,0.3894940476190476,0.2517235577106476
linear_ridge,leo_rain_weak,0.7,0.7,0.40319727891156465,0.23653799295425415
linear_ridge,leo_rain_weak,0.8,0.8,0.42154017857142856,0.21984878182411194
linear_ridge,leo_rain_weak,0.9,0.9,0.4453571428571429,0.20004522800445557
linear_ridge,leo_rain_weak,0.95,0.95,0.46055764411027567,0.18913906812667847
linear_ridge,leo_rain_weak,1.0,1.0,0.47687500000000005,0.16904060542583466
