method,scene,true_class,predicted_class,count,true_class_count,row_rate
H2,leo_clear_weak,0,0,8297,28000,0.29632142186164856
H2,leo_clear_weak,0,1,1790,28000,0.06392857432365417
H2,leo_clear_weak,0,2,156,28000,0.005571428686380386
H2,leo_clear_weak,0,3,12119,28000,0.4328214228153229
H2,leo_clear_weak,0,4,5632,28000,0.20114286243915558
H2,leo_clear_weak,0,5,6,28000,0.00021428571199066937
H2,leo_clear_weak,1,0,83,28000,0.0029642856679856777
H2,leo_clear_weak,1,1,6576,28000,0.23485714197158813
H2,leo_clear_weak,1,2,26,28000,0.0009285714477300644
H2,leo_clear_weak,1,3,19555,28000,0.6983928680419922
H2,leo_clear_weak,1,4,1746,28000,0.06235714256763458
H2,leo_clear_weak,1,5,14,28000,0.0005000000237487257
H2,leo_clear_weak,2,0,88,28000,0.003142857225611806
H2,leo_clear_weak,2,1,611,28000,0.02182142809033394
H2,leo_clear_weak,2,2,10176,28000,0.3634285628795624
H2,leo_clear_weak,2,3,2039,28000,0.07282143086194992
H2,leo_clear_weak,2,4,13277,28000,0.47417858242988586
H2,leo_clear_weak,2,5,1809,28000,0.06460714340209961
H2,leo_clear_weak,3,0,570,28000,0.020357143133878708
H2,leo_clear_weak,3,1,3243,28000,0.11582142859697342
H2,leo_clear_weak,3,2,422,28000,0.015071428380906582
H2,leo_clear_weak,3,3,19077,28000,0.6813214421272278
H2,leo_clear_weak,3,4,4572,28000,0.16328571736812592
H2,leo_clear_weak,3,5,116,28000,0.004142857156693935
H2,leo_clear_weak,4,0,2,28000,7.142857066355646e-05
H2,leo_clear_weak,4,1,1466,28000,0.05235714465379715
H2,leo_clear_weak,4,2,38,28000,0.0013571428135037422
H2,leo_clear_weak,4,3,3091,28000,0.11039285361766815
H2,leo_clear_weak,4,4,23397,28000,0.8356071710586548
H2,leo_clear_weak,4,5,6,28000,0.00021428571199066937
H2,leo_clear_weak,5,0,1,28000,3.571428533177823e-05
H2,leo_clear_weak,5,1,37,28000,0.0013214285718277097
H2,leo_clear_weak,5,2,252,28000,0.008999999612569809
H2,leo_clear_weak,5,3,31,28000,0.0011071428889408708
H2,leo_clear_weak,5,4,5690,28000,0.20321428775787354
H2,leo_clear_weak,5,5,21989,28000,0.7853214144706726
H2,leo_low_elev_weak,0,0,7561,28000,0.2700357139110565
H2,leo_low_elev_weak,0,1,1686,28000,0.06021428480744362
H2,leo_low_elev_weak,0,2,216,28000,0.0077142855152487755
H2,leo_low_elev_weak,0,3,11310,28000,0.40392857789993286
H2,leo_low_elev_weak,0,4,7215,28000,0.2576785683631897
H2,leo_low_elev_weak,0,5,12,28000,0.00042857142398133874
