run,row,epoch,kind,scenario,class,accuracy_pct
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_low_elev_weak,4,90.86785714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_low_elev_weak,5,86.36785714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_rain_weak,0,64.77857142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_rain_weak,1,29.728571428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_rain_weak,2,52.56785714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_rain_weak,3,57.38928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_rain_weak,4,90.67857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X7_COMBINED,200,final,leo_rain_weak,5,87.50357142857142
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,clean,0,93.325
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,clean,1,43.81785714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,clean,2,72.51071428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,clean,3,66.96428571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,clean,4,99.78928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,clean,5,94.17142857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_clear_weak,0,72.80714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_clear_weak,1,34.94642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_clear_weak,2,62.79642857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_clear_weak,3,61.68571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_clear_weak,4,97.73928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_clear_weak,5,83.33571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_low_elev_weak,0,71.3607142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_low_elev_weak,1,33.91071428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_low_elev_weak,2,59.78928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_low_elev_weak,3,58.58571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_low_elev_weak,4,95.56785714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_low_elev_weak,5,84.22142857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_rain_weak,0,72.73571428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_rain_weak,1,34.44642857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_rain_weak,2,59.857142857142854
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_rain_weak,3,56.96785714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_rain_weak,4,95.33571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X4_COVERAGE_KL,200,final,leo_rain_weak,5,85.28214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,clean,0,92.925
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,clean,1,44.660714285714285
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,clean,2,74.60714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,clean,3,67.36785714285715
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,clean,4,99.78928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,clean,5,95.44642857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_clear_weak,0,74.58928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_clear_weak,1,36.10714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_clear_weak,2,64.54642857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_clear_weak,3,61.13214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_clear_weak,4,97.54285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_clear_weak,5,84.10357142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_low_elev_weak,0,73.32499999999999
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_low_elev_weak,1,34.825
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_low_elev_weak,2,60.81071428571428
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_low_elev_weak,3,57.61428571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_low_elev_weak,4,95.58571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_low_elev_weak,5,84.83214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_rain_weak,0,74.58214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_rain_weak,1,35.425000000000004
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_rain_weak,2,61.27142857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_rain_weak,3,56.03928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_rain_weak,4,95.3
a1_ecrs_cross_rx_s392005_20260909_r1,X1_CROSS_RX_CLEAN,200,final,leo_rain_weak,5,85.66785714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,clean,0,92.73928571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,clean,1,44.17857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,clean,2,70.80357142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,clean,3,66.84642857142858
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,clean,4,99.78571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,clean,5,96.46428571428571
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_clear_weak,0,73.33214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_clear_weak,1,35.99285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_clear_weak,2,63.09285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_clear_weak,3,61.3
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_clear_weak,4,97.47857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_clear_weak,5,84.00357142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_low_elev_weak,0,72.67857142857143
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_low_elev_weak,1,34.517857142857146
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_low_elev_weak,2,60.00714285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_low_elev_weak,3,57.732142857142854
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_low_elev_weak,4,95.33571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_low_elev_weak,5,84.79285714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_rain_weak,0,73.93214285714286
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_rain_weak,1,34.67142857142857
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_rain_weak,2,60.16785714285714
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_rain_weak,3,56.31428571428572
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_rain_weak,4,95.03571428571429
a1_ecrs_cross_rx_s392005_20260909_r1,X0_A1_RUNTIME,200,final,leo_rain_weak,5,85.85714285714286
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,clean,0,92.49642857142857
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,clean,1,42.99285714285715
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,clean,2,69.61071428571428
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,clean,3,68.22500000000001
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,clean,4,99.51785714285715
a1_fast_selected_adv3b02_s392005_20260908_r1,A1_REFERENCE,200,final,clean,5,87.56071428571428
