arm,experiment_id,receiver,seed,k_shot,old_acc_candidate,old_acc_baseline,delta_old_acc,seen_new_acc_candidate,seen_new_acc_baseline,delta_seen_new_acc,H_old_new_candidate,H_old_new_baseline,delta_H_old_new
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k5_seed713101,3-19,713101,5,0.6388888888888888,0.5805555555555555,0.05833333333333335,0.3333333333333333,0.2916666666666667,0.04166666666666663,0.4370553044486891,0.3761732710707753,0.06088203337791381
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k1_seed713102,3-19,713102,1,0.4666666666666666,0.41111111111111115,0.05555555555555547,0.4000000000000001,0.4166666666666667,-0.016666666666666607,0.4273355542637392,0.4013630759747265,0.025972478289012724
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k10_seed713102,3-19,713102,10,0.686111111111111,0.5694444444444444,0.11666666666666659,0.4833333333333334,0.48333333333333334,5.551115123125783e-17,0.5659594753073014,0.5225370589006952,0.04342241640660616
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k2_seed713102,3-19,713102,2,0.5555555555555555,0.43333333333333335,0.12222222222222212,0.34166666666666673,0.375,-0.03333333333333327,0.4185900660945053,0.39961527226375265,0.018974793830752623
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k20_seed713102,3-19,713102,20,0.6944444444444443,0.5805555555555555,0.11388888888888882,0.575,0.4749999999999999,0.10000000000000003,0.628857722249442,0.5212728194726166,0.10758490277682542
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k5_seed713102,3-19,713102,5,0.6416666666666667,0.5527777777777778,0.0888888888888889,0.425,0.44166666666666665,-0.016666666666666663,0.5084081386102276,0.490623465230741,0.017784673379486582
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k1_seed713103,3-19,713103,1,0.4305555555555556,0.41944444444444445,0.011111111111111127,0.35833333333333334,0.31666666666666665,0.041666666666666685,0.38971062297328524,0.3596045552617621,0.030106067711523132
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k10_seed713103,3-19,713103,10,0.5944444444444444,0.49722222222222223,0.09722222222222221,0.4833333333333334,0.4749999999999999,0.00833333333333347,0.5277807694329781,0.4827651515151515,0.045015617917826656
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k2_seed713103,3-19,713103,2,0.5083333333333333,0.36944444444444446,0.13888888888888884,0.48333333333333334,0.47500000000000003,0.008333333333333304,0.49474179009062724,0.4154226368773739,0.07931915321325334
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k20_seed713103,3-19,713103,20,0.6749999999999999,0.5555555555555556,0.11944444444444435,0.5166666666666667,0.47500000000000003,0.041666666666666685,0.5794710223715858,0.5075467914438502,0.07192423092773559
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k5_seed713103,3-19,713103,5,0.5666666666666667,0.47500000000000003,0.09166666666666662,0.5083333333333333,0.4916666666666667,0.016666666666666607,0.5327635327635327,0.4825485931082976,0.0502149396552351
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k1_seed713104,3-19,713104,1,0.3527777777777778,0.34722222222222227,0.005555555555555536,0.39166666666666666,0.3,0.09166666666666667,0.35568367501642434,0.23630735759493673,0.1193763174214876
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k10_seed713104,3-19,713104,10,0.5972222222222222,0.5027777777777778,0.09444444444444444,0.5916666666666667,0.5416666666666666,0.050000000000000044,0.590198653929657,0.516337527004702,0.07386112692495495
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k2_seed713104,3-19,713104,2,0.5583333333333333,0.40277777777777773,0.1555555555555556,0.35833333333333334,0.3833333333333333,-0.024999999999999967,0.43456640058055146,0.3911595343498935,0.04340686623065798
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k20_seed713104,3-19,713104,20,0.6444444444444445,0.5333333333333333,0.11111111111111116,0.5583333333333332,0.47500000000000003,0.0833333333333332,0.5952734091818599,0.5003070724267574,0.09496633675510247
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k5_seed713104,3-19,713104,5,0.5277777777777777,0.48611111111111116,0.04166666666666652,0.4916666666666667,0.4583333333333333,0.03333333333333338,0.49790335044433404,0.4662004273974613,0.03170292304687272
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k1_seed713105,3-19,713105,1,0.5499999999999999,0.5166666666666666,0.033333333333333326,0.18333333333333335,0.22499999999999998,-0.04166666666666663,0.2630975452196382,0.29519220886010894,-0.032094663640470755
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k10_seed713105,3-19,713105,10,0.6444444444444445,0.561111111111111,0.08333333333333348,0.3833333333333333,0.4166666666666667,-0.03333333333333338,0.47369114771661985,0.47059333636945827,0.003097811347161583
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k2_seed713105,3-19,713105,2,0.5416666666666667,0.47500000000000003,0.06666666666666671,0.3833333333333333,0.25,0.1333333333333333,0.44223574826230694,0.29932598847693187,0.14290975978537507
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k20_seed713105,3-19,713105,20,0.7000000000000001,0.5944444444444444,0.10555555555555562,0.48333333333333334,0.45,0.033333333333333326,0.5642432279139139,0.5092298076255295,0.05501342028838441
singleview_fft96,cvs_qknnv42_stage2c_rx3-19_k5_seed713105,3-19,713105,5,0.6277777777777778,0.5416666666666666,0.08611111111111114,0.3833333333333333,0.3916666666666666,-0.008333333333333304,0.47065925923396584,0.4509561323532205,0.019703126880745325
