row,scene,group_type,group_id,count,accuracy_percent,macro_recall_percent,macro_f1_percent,worst_tx_accuracy_percent
B1,clean,overall,all,27000,98.12592592592593,98.12592592592591,98.12246286775914,96.11111111111111
B1,clean,rx,1,5400,98.96296296296296,98.96296296296296,98.96029790982456,95.0
B1,clean,rx,3,5400,95.7037037037037,95.7037037037037,95.69056196828427,92.55555555555556
B1,clean,rx,4,5400,98.74074074074073,98.74074074074073,98.73846508779415,97.11111111111111
B1,clean,rx,6,5400,99.4074074074074,99.4074074074074,99.405656702224,97.0
B1,clean,rx,8,5400,97.81481481481481,97.8148148148148,97.80530344320621,93.88888888888889
B1,clean,day,1,9000,98.17777777777778,98.17777777777778,98.17459701002048,96.46666666666667
B1,clean,day,2,9000,98.61111111111111,98.6111111111111,98.6092886288983,97.2
B1,clean,day,3,9000,97.58888888888889,97.58888888888889,97.58216433017887,94.19999999999999
B1,clean,tx,0,4500,98.75555555555555,,,
B1,clean,tx,1,4500,96.11111111111111,,,
B1,clean,tx,2,4500,99.11111111111111,,,
B1,clean,tx,3,4500,96.62222222222222,,,
B1,clean,tx,4,4500,98.88888888888889,,,
B1,clean,tx,5,4500,99.26666666666667,,,
B1,leo_clear_weak,overall,all,27000,88.95185185185184,88.95185185185186,88.74293612555462,72.88888888888889
B1,leo_clear_weak,rx,1,5400,94.64814814814815,94.64814814814814,94.4453475036575,73.77777777777777
B1,leo_clear_weak,rx,3,5400,80.03703703703704,80.03703703703704,79.47900797860957,52.888888888888886
B1,leo_clear_weak,rx,4,5400,93.92592592592592,93.92592592592592,93.92248469798278,86.11111111111111
B1,leo_clear_weak,rx,6,5400,96.42592592592592,96.42592592592591,96.38283555434067,86.8888888888889
B1,leo_clear_weak,rx,8,5400,79.72222222222223,79.72222222222221,78.43841381947301,42.888888888888886
B1,leo_clear_weak,day,1,9000,89.18888888888888,89.18888888888888,88.9972258328565,74.73333333333333
B1,leo_clear_weak,day,2,9000,89.9,89.9,89.74653808187743,76.26666666666667
B1,leo_clear_weak,day,3,9000,87.76666666666667,87.76666666666668,87.46301571556194,67.66666666666666
B1,leo_clear_weak,tx,0,4500,87.2,,,
B1,leo_clear_weak,tx,1,4500,72.88888888888889,,,
B1,leo_clear_weak,tx,2,4500,97.88888888888889,,,
B1,leo_clear_weak,tx,3,4500,78.62222222222222,,,
B1,leo_clear_weak,tx,4,4500,98.11111111111111,,,
B1,leo_clear_weak,tx,5,4500,99.0,,,
B1,leo_low_elev_weak,overall,all,27000,84.84074074074074,84.84074074074074,84.41218337655445,64.5111111111111
B1,leo_low_elev_weak,rx,1,5400,90.0,90.0,89.6090187708948,64.55555555555556
B1,leo_low_elev_weak,rx,3,5400,76.18518518518519,76.18518518518519,75.28469669778323,46.0
B1,leo_low_elev_weak,rx,4,5400,88.81481481481481,88.81481481481481,88.752439241085,77.44444444444444
B1,leo_low_elev_weak,rx,6,5400,92.48148148148148,92.48148148148148,92.36189576231965,77.11111111111111
B1,leo_low_elev_weak,rx,8,5400,76.72222222222223,76.72222222222223,74.67416717153667,32.88888888888889
B1,leo_low_elev_weak,day,1,9000,84.31111111111112,84.3111111111111,83.85747632213985,65.26666666666667
B1,leo_low_elev_weak,day,2,9000,86.07777777777777,86.07777777777777,85.77187445966484,68.93333333333334
B1,leo_low_elev_weak,day,3,9000,84.13333333333334,84.13333333333334,83.56633778927373,59.333333333333336
B1,leo_low_elev_weak,tx,0,4500,82.62222222222222,,,
B1,leo_low_elev_weak,tx,1,4500,64.5111111111111,,,
B1,leo_low_elev_weak,tx,2,4500,96.4888888888889,,,
B1,leo_low_elev_weak,tx,3,4500,69.64444444444445,,,
B1,leo_low_elev_weak,tx,4,4500,97.51111111111112,,,
B1,leo_low_elev_weak,tx,5,4500,98.26666666666667,,,
B1,leo_rain_weak,overall,all,27000,84.33333333333334,84.33333333333334,83.80217752857591,60.86666666666667
B1,leo_rain_weak,rx,1,5400,90.14814814814814,90.14814814814814,89.74106570916031,64.11111111111111
B1,leo_rain_weak,rx,3,5400,76.81481481481481,76.81481481481481,75.96692435549524,47.333333333333336
B1,leo_rain_weak,rx,4,5400,88.05555555555556,88.05555555555557,87.93921168912078,72.55555555555556
B1,leo_rain_weak,rx,6,5400,91.12962962962963,91.12962962962962,90.94169592314417,71.66666666666667
B1,leo_rain_weak,rx,8,5400,75.51851851851852,75.5185185185185,73.25555939040717,31.77777777777778
B1,leo_rain_weak,day,1,9000,84.91111111111111,84.9111111111111,84.46305438189286,63.13333333333333
B1,leo_rain_weak,day,2,9000,85.06666666666666,85.06666666666666,84.614919984796,64.26666666666667
B1,leo_rain_weak,day,3,9000,83.02222222222223,83.02222222222223,82.29241478387107,55.2
