variant,scene,category,group,correct,wrong,total,accuracy_percent
U1,leo_rain_weak,named,test_rx_11,11216,6784,18000,62.31111111111111
U1,leo_rain_weak,named,test_unseen_day_unseen_rx,23922,18078,42000,56.957142857142856
U1,leo_rain_weak,named,test_unseen_day_rx_0,3416,2584,6000,56.93333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_2,2419,3581,6000,40.31666666666667
U1,leo_rain_weak,named,test_unseen_day_rx_5,3623,2377,6000,60.38333333333333
U1,leo_rain_weak,named,test_unseen_day_rx_7,3039,2961,6000,50.65
U1,leo_rain_weak,named,test_unseen_day_rx_9,3640,2360,6000,60.666666666666664
U1,leo_rain_weak,named,test_unseen_day_rx_10,4080,1920,6000,68.0
U1,leo_rain_weak,named,test_unseen_day_rx_11,3705,2295,6000,61.75
U1,leo_rain_weak,receiver_all_days,0,15995,8005,24000,66.64583333333333
U1,leo_rain_weak,receiver_all_days,1,4166,1834,6000,69.43333333333334
U1,leo_rain_weak,receiver_all_days,2,10626,13374,24000,44.275
U1,leo_rain_weak,receiver_all_days,3,4173,1827,6000,69.55
U1,leo_rain_weak,receiver_all_days,4,5174,826,6000,86.23333333333333
U1,leo_rain_weak,receiver_all_days,5,16902,7098,24000,70.425
U1,leo_rain_weak,receiver_all_days,6,4937,1063,6000,82.28333333333333
U1,leo_rain_weak,receiver_all_days,7,10461,13539,24000,43.5875
U1,leo_rain_weak,receiver_all_days,8,4353,1647,6000,72.55
U1,leo_rain_weak,receiver_all_days,9,15931,8069,24000,66.37916666666666
U1,leo_rain_weak,receiver_all_days,10,14519,9481,24000,60.49583333333333
U1,leo_rain_weak,receiver_all_days,11,14921,9079,24000,62.170833333333334
U1,leo_rain_weak,class,0,24381,8619,33000,73.88181818181818
U1,leo_rain_weak,class,1,9813,23187,33000,29.736363636363638
U1,leo_rain_weak,class,2,14425,18575,33000,43.71212121212121
U1,leo_rain_weak,class,3,18466,14534,33000,55.95757575757576
U1,leo_rain_weak,class,4,24778,8222,33000,75.08484848484848
U1,leo_rain_weak,class,5,30295,2705,33000,91.8030303030303
U1_mask_off,clean,aggregate,all,155651,42349,198000,78.61161616161615
U1_mask_off,clean,named,test_unseen_day_seen_rx,28051,1949,30000,93.50333333333333
U1_mask_off,clean,named,test_day_0,28051,1949,30000,93.50333333333333
U1_mask_off,clean,named,test_seen_day_unseen_rx,96031,29969,126000,76.21507936507936
U1_mask_off,clean,named,test_rx_0,15162,2838,18000,84.23333333333333
U1_mask_off,clean,named,test_rx_2,10857,7143,18000,60.31666666666667
U1_mask_off,clean,named,test_rx_5,15622,2378,18000,86.78888888888889
U1_mask_off,clean,named,test_rx_7,11383,6617,18000,63.23888888888889
U1_mask_off,clean,named,test_rx_9,14382,3618,18000,79.9
U1_mask_off,clean,named,test_rx_10,14773,3227,18000,82.07222222222222
U1_mask_off,clean,named,test_rx_11,13852,4148,18000,76.95555555555555
U1_mask_off,clean,named,test_unseen_day_unseen_rx,31569,10431,42000,75.16428571428571
U1_mask_off,clean,named,test_unseen_day_rx_0,3943,2057,6000,65.71666666666667
U1_mask_off,clean,named,test_unseen_day_rx_2,3731,2269,6000,62.18333333333333
U1_mask_off,clean,named,test_unseen_day_rx_5,4981,1019,6000,83.01666666666667
U1_mask_off,clean,named,test_unseen_day_rx_7,5380,620,6000,89.66666666666667
U1_mask_off,clean,named,test_unseen_day_rx_9,4107,1893,6000,68.45
U1_mask_off,clean,named,test_unseen_day_rx_10,5123,877,6000,85.38333333333334
U1_mask_off,clean,named,test_unseen_day_rx_11,4304,1696,6000,71.73333333333333
U1_mask_off,clean,receiver_all_days,0,19105,4895,24000,79.60416666666667
U1_mask_off,clean,receiver_all_days,1,4904,1096,6000,81.73333333333333
U1_mask_off,clean,receiver_all_days,2,14588,9412,24000,60.78333333333333
U1_mask_off,clean,receiver_all_days,3,5704,296,6000,95.06666666666666
U1_mask_off,clean,receiver_all_days,4,5866,134,6000,97.76666666666667
U1_mask_off,clean,receiver_all_days,5,20603,3397,24000,85.84583333333333
U1_mask_off,clean,receiver_all_days,6,5931,69,6000,98.85
U1_mask_off,clean,receiver_all_days,7,16763,7237,24000,69.84583333333333
U1_mask_off,clean,receiver_all_days,8,5646,354,6000,94.1
U1_mask_off,clean,receiver_all_days,9,18489,5511,24000,77.0375
U1_mask_off,clean,receiver_all_days,10,19896,4104,24000,82.9
U1_mask_off,clean,receiver_all_days,11,18156,5844,24000,75.65
U1_mask_off,clean,class,0,30727,2273,33000,93.11212121212121
U1_mask_off,clean,class,1,15018,17982,33000,45.50909090909091
U1_mask_off,clean,class,2,21323,11677,33000,64.61515151515151
U1_mask_off,clean,class,3,24720,8280,33000,74.9090909090909
U1_mask_off,clean,class,4,32859,141,33000,99.57272727272728
U1_mask_off,clean,class,5,31004,1996,33000,93.95151515151515
U1_mask_off,leo_clear_weak,aggregate,all,126576,71424,198000,63.92727272727273
U1_mask_off,leo_clear_weak,named,test_unseen_day_seen_rx,23712,6288,30000,79.04
U1_mask_off,leo_clear_weak,named,test_day_0,23712,6288,30000,79.04
U1_mask_off,leo_clear_weak,named,test_seen_day_unseen_rx,77875,48125,126000,61.80555555555556
U1_mask_off,leo_clear_weak,named,test_rx_0,13317,4683,18000,73.98333333333333
U1_mask_off,leo_clear_weak,named,test_rx_2,8410,9590,18000,46.72222222222222
U1_mask_off,leo_clear_weak,named,test_rx_5,14031,3969,18000,77.95
U1_mask_off,leo_clear_weak,named,test_rx_7,6987,11013,18000,38.81666666666667
U1_mask_off,leo_clear_weak,named,test_rx_9,12945,5055,18000,71.91666666666667
U1_mask_off,leo_clear_weak,named,test_rx_10,10813,7187,18000,60.07222222222222
U1_mask_off,leo_clear_weak,named,test_rx_11,11372,6628,18000,63.17777777777778
U1_mask_off,leo_clear_weak,named,test_unseen_day_unseen_rx,24989,17011,42000,59.49761904761905
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_0,3496,2504,6000,58.266666666666666
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_2,2507,3493,6000,41.78333333333333
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_5,3830,2170,6000,63.833333333333336
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_7,3189,2811,6000,53.15
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_9,3753,2247,6000,62.55
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_10,4366,1634,6000,72.76666666666667
U1_mask_off,leo_clear_weak,named,test_unseen_day_rx_11,3848,2152,6000,64.13333333333334
U1_mask_off,leo_clear_weak,receiver_all_days,0,16813,7187,24000,70.05416666666666
U1_mask_off,leo_clear_weak,receiver_all_days,1,4319,1681,6000,71.98333333333333
U1_mask_off,leo_clear_weak,receiver_all_days,2,10917,13083,24000,45.4875
U1_mask_off,leo_clear_weak,receiver_all_days,3,4503,1497,6000,75.05
U1_mask_off,leo_clear_weak,receiver_all_days,4,5210,790,6000,86.83333333333333
U1_mask_off,leo_clear_weak,receiver_all_days,5,17861,6139,24000,74.42083333333333
U1_mask_off,leo_clear_weak,receiver_all_days,6,4976,1024,6000,82.93333333333334
U1_mask_off,leo_clear_weak,receiver_all_days,7,10176,13824,24000,42.4
U1_mask_off,leo_clear_weak,receiver_all_days,8,4704,1296,6000,78.4
U1_mask_off,leo_clear_weak,receiver_all_days,9,16698,7302,24000,69.575
U1_mask_off,leo_clear_weak,receiver_all_days,10,15179,8821,24000,63.24583333333333
U1_mask_off,leo_clear_weak,receiver_all_days,11,15220,8780,24000,63.416666666666664
U1_mask_off,leo_clear_weak,class,0,19799,13201,33000,59.9969696969697
U1_mask_off,leo_clear_weak,class,1,8996,24004,33000,27.26060606060606
U1_mask_off,leo_clear_weak,class,2,16558,16442,33000,50.17575757575757
