variant,scene,true_tx,predicted_tx,count
U1_mask_off,leo_rain_weak,1,1,8772
U1_mask_off,leo_rain_weak,1,2,74
U1_mask_off,leo_rain_weak,1,3,21217
U1_mask_off,leo_rain_weak,1,4,655
U1_mask_off,leo_rain_weak,1,5,90
U1_mask_off,leo_rain_weak,2,0,3078
U1_mask_off,leo_rain_weak,2,1,1478
U1_mask_off,leo_rain_weak,2,2,15655
U1_mask_off,leo_rain_weak,2,3,4183
U1_mask_off,leo_rain_weak,2,4,2711
U1_mask_off,leo_rain_weak,2,5,5895
U1_mask_off,leo_rain_weak,3,0,5205
U1_mask_off,leo_rain_weak,3,1,4566
U1_mask_off,leo_rain_weak,3,2,850
U1_mask_off,leo_rain_weak,3,3,21608
U1_mask_off,leo_rain_weak,3,4,438
U1_mask_off,leo_rain_weak,3,5,333
U1_mask_off,leo_rain_weak,4,0,382
U1_mask_off,leo_rain_weak,4,1,1406
U1_mask_off,leo_rain_weak,4,2,196
U1_mask_off,leo_rain_weak,4,3,5466
U1_mask_off,leo_rain_weak,4,4,25342
U1_mask_off,leo_rain_weak,4,5,208
U1_mask_off,leo_rain_weak,5,0,142
U1_mask_off,leo_rain_weak,5,1,198
U1_mask_off,leo_rain_weak,5,2,175
U1_mask_off,leo_rain_weak,5,3,60
U1_mask_off,leo_rain_weak,5,4,1196
U1_mask_off,leo_rain_weak,5,5,31229
U3,clean,0,0,31226
U3,clean,0,1,164
U3,clean,0,2,242
U3,clean,0,3,1287
U3,clean,0,4,50
U3,clean,0,5,31
U3,clean,1,0,749
U3,clean,1,1,14043
U3,clean,1,2,33
U3,clean,1,3,18066
U3,clean,1,4,61
U3,clean,1,5,48
U3,clean,2,0,3577
U3,clean,2,1,611
U3,clean,2,2,21787
U3,clean,2,3,1863
U3,clean,2,4,617
U3,clean,2,5,4545
U3,clean,3,0,3764
U3,clean,3,1,5182
U3,clean,3,2,422
U3,clean,3,3,23466
U3,clean,3,4,82
U3,clean,3,5,84
U3,clean,4,0,40
U3,clean,4,1,78
U3,clean,4,2,29
U3,clean,4,3,167
U3,clean,4,4,32639
U3,clean,4,5,47
U3,clean,5,0,121
U3,clean,5,1,20
U3,clean,5,2,89
U3,clean,5,3,32
U3,clean,5,4,2442
U3,clean,5,5,30296
U3,leo_clear_weak,0,0,23139
U3,leo_clear_weak,0,1,1696
U3,leo_clear_weak,0,2,333
U3,leo_clear_weak,0,3,7559
U3,leo_clear_weak,0,4,225
U3,leo_clear_weak,0,5,48
U3,leo_clear_weak,1,0,2158
U3,leo_clear_weak,1,1,9477
U3,leo_clear_weak,1,2,39
U3,leo_clear_weak,1,3,20667
U3,leo_clear_weak,1,4,604
U3,leo_clear_weak,1,5,55
U3,leo_clear_weak,2,0,3926
U3,leo_clear_weak,2,1,1968
U3,leo_clear_weak,2,2,16971
U3,leo_clear_weak,2,3,2292
U3,leo_clear_weak,2,4,3923
U3,leo_clear_weak,2,5,3920
U3,leo_clear_weak,3,0,5545
U3,leo_clear_weak,3,1,4543
U3,leo_clear_weak,3,2,574
U3,leo_clear_weak,3,3,21706
U3,leo_clear_weak,3,4,427
U3,leo_clear_weak,3,5,205
U3,leo_clear_weak,4,0,275
U3,leo_clear_weak,4,1,2038
U3,leo_clear_weak,4,2,71
U3,leo_clear_weak,4,3,4137
U3,leo_clear_weak,4,4,26374
U3,leo_clear_weak,4,5,105
U3,leo_clear_weak,5,0,197
U3,leo_clear_weak,5,1,324
U3,leo_clear_weak,5,2,235
U3,leo_clear_weak,5,3,31
U3,leo_clear_weak,5,4,3668
U3,leo_clear_weak,5,5,28545
U3,leo_low_elev_weak,0,0,22929
U3,leo_low_elev_weak,0,1,1839
U3,leo_low_elev_weak,0,2,383
U3,leo_low_elev_weak,0,3,7409
U3,leo_low_elev_weak,0,4,371
U3,leo_low_elev_weak,0,5,69
U3,leo_low_elev_weak,1,0,3255
U3,leo_low_elev_weak,1,1,8880
U3,leo_low_elev_weak,1,2,76
U3,leo_low_elev_weak,1,3,19879
U3,leo_low_elev_weak,1,4,846
U3,leo_low_elev_weak,1,5,64
U3,leo_low_elev_weak,2,0,4118
U3,leo_low_elev_weak,2,1,2180
U3,leo_low_elev_weak,2,2,15894
U3,leo_low_elev_weak,2,3,2578
U3,leo_low_elev_weak,2,4,4071
U3,leo_low_elev_weak,2,5,4159
U3,leo_low_elev_weak,3,0,6883
U3,leo_low_elev_weak,3,1,4536
U3,leo_low_elev_weak,3,2,631
U3,leo_low_elev_weak,3,3,19987
U3,leo_low_elev_weak,3,4,738
U3,leo_low_elev_weak,3,5,225
U3,leo_low_elev_weak,4,0,397
U3,leo_low_elev_weak,4,1,2235
U3,leo_low_elev_weak,4,2,94
U3,leo_low_elev_weak,4,3,4742
U3,leo_low_elev_weak,4,4,25406
U3,leo_low_elev_weak,4,5,126
U3,leo_low_elev_weak,5,0,339
U3,leo_low_elev_weak,5,1,401
U3,leo_low_elev_weak,5,2,362
U3,leo_low_elev_weak,5,3,41
U3,leo_low_elev_weak,5,4,3690
U3,leo_low_elev_weak,5,5,28167
U3,leo_rain_weak,0,0,23410
U3,leo_rain_weak,0,1,1885
U3,leo_rain_weak,0,2,397
U3,leo_rain_weak,0,3,6862
U3,leo_rain_weak,0,4,391
U3,leo_rain_weak,0,5,55
U3,leo_rain_weak,1,0,3514
U3,leo_rain_weak,1,1,9038
U3,leo_rain_weak,1,2,61
