arm,adapter_epoch,resource_tier,receiver,seed,k_shot,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,old_to_seen_new_rate,seen_new_to_old_rate,min_old_class_acc,min_seen_new_class_acc,run_dir
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713102,5,0.7111111111111111,0.6555555555555556,0.5083333333333333,0.5690663202611396,0.05555555555555558,0.10833333333333334,0.375,0.31666666666666665,0.2833333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713102\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713103,1,0.6111111111111112,0.4666666666666666,0.45,0.4554144651067042,0.14444444444444446,0.18611111111111112,0.31666666666666665,0.1,0.15,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713103\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713103,10,0.6944444444444445,0.6277777777777778,0.6,0.6057441888767189,0.0666666666666667,0.07777777777777778,0.325,0.35,0.38333333333333336,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713103\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713103,2,0.6083333333333334,0.5166666666666667,0.46666666666666673,0.48636752136752137,0.09166666666666666,0.16944444444444443,0.31666666666666665,0.2,0.26666666666666666,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713103\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713103,20,0.75,0.6777777777777777,0.5916666666666667,0.6264300539643005,0.07222222222222223,0.07777777777777778,0.325,0.4666666666666667,0.38333333333333336,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713103\k_20\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713103,5,0.6833333333333332,0.5944444444444444,0.55,0.5700064221608601,0.0888888888888889,0.12222222222222223,0.3,0.2833333333333333,0.35,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713103\k_5\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713104,1,0.611111111111111,0.5388888888888889,0.3083333333333333,0.35490716180371357,0.07222222222222223,0.11388888888888889,0.4833333333333334,0.26666666666666666,0.26666666666666666,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713104\k_1\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713104,10,0.7083333333333334,0.6388888888888888,0.4833333333333334,0.547714706613863,0.06944444444444446,0.0861111111111111,0.38333333333333336,0.26666666666666666,0.3333333333333333,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713104\k_10\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713104,2,0.6333333333333333,0.5805555555555556,0.2916666666666667,0.3538113712727657,0.05277777777777778,0.09166666666666666,0.5583333333333333,0.3,0.18333333333333332,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713104\k_2\cvs_qknnv42
E10,10,EXTREME_LIGHT_PREFERRED,3-19,713104,20,0.7555555555555555,0.6805555555555555,0.5833333333333334,0.6273774836768635,0.07500000000000002,0.08888888888888889,0.2916666666666667,0.3333333333333333,0.4166666666666667,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_sweep_20260715_104409\E10\rx_3-19\seed_713104\k_20\cvs_qknnv42
