arm,adapter_epoch,receiver,seed,k_shot,scenario,old_before,old_acc,seen_new_acc,H_old_new,average_forgetting,head_macs,persistent_state_bytes,scoring_latency_per_query_ms
E10,10,20-1,713105,1,leo_low_elev_weak,0.6416666666666667,0.6083333333333333,0.45,0.5173228346456693,0.03333333333333344,901120,31201,0.00712941400706768
E10,10,20-1,713105,1,leo_rain_weak,0.6083333333333333,0.5166666666666667,0.525,0.5208,0.09166666666666656,901120,31201,0.006862654117867351
E10,10,20-1,713105,10,leo_clear_weak,0.9166666666666666,0.8916666666666667,0.8,0.8433497536945812,0.02499999999999991,4956160,57409,0.10076144826598465
E10,10,20-1,713105,10,leo_low_elev_weak,0.85,0.8166666666666667,0.75,0.7819148936170214,0.033333333333333326,4956160,57409,0.1209964684676379
E10,10,20-1,713105,10,leo_rain_weak,0.85,0.825,0.6,0.6947368421052632,0.025000000000000022,4956160,57409,0.10903262009378523
E10,10,20-1,713105,2,leo_clear_weak,0.7083333333333334,0.7,0.625,0.6603773584905661,0.008333333333333415,1351680,34113,0.009848893387243152
E10,10,20-1,713105,2,leo_low_elev_weak,0.7333333333333333,0.6583333333333333,0.7,0.6785276073619632,0.07499999999999996,1351680,34113,0.008023084956221282
E10,10,20-1,713105,2,leo_rain_weak,0.7583333333333333,0.65,0.5,0.5652173913043479,0.10833333333333328,1351680,34113,0.00912361720111221
E10,10,20-1,713105,20,leo_clear_weak,0.9,0.8833333333333333,0.85,0.8663461538461538,0.01666666666666672,9461760,86529,0.058735947823151946
E10,10,20-1,713105,20,leo_low_elev_weak,0.8916666666666667,0.8666666666666667,0.7,0.774468085106383,0.025000000000000022,9461760,86529,0.03682500391732901
E10,10,20-1,713105,20,leo_rain_weak,0.9,0.9083333333333333,0.575,0.7042134831460672,-0.008333333333333304,9461760,86529,0.03548443492036313
E10,10,20-1,713105,5,leo_clear_weak,0.875,0.875,0.725,0.79296875,0.0,2703360,42849,0.01226073072757572
E10,10,20-1,713105,5,leo_low_elev_weak,0.7916666666666666,0.75,0.825,0.7857142857142856,0.04166666666666663,2703360,42849,0.01311046362388879
E10,10,20-1,713105,5,leo_rain_weak,0.825,0.8083333333333333,0.55,0.654601226993865,0.016666666666666607,2703360,42849,0.013127928832545877
E10,10,3-19,713101,1,leo_clear_weak,0.5416666666666666,0.5083333333333333,0.45,0.47739130434782606,0.033333333333333326,901120,31201,0.009025586768984795
E10,10,3-19,713101,1,leo_low_elev_weak,0.5833333333333334,0.5166666666666667,0.375,0.4345794392523365,0.06666666666666665,901120,31201,0.008352793520316482
E10,10,3-19,713101,1,leo_rain_weak,0.5833333333333334,0.4083333333333333,0.25,0.310126582278481,0.17500000000000004,901120,31201,0.008751419954933226
E10,10,3-19,713101,10,leo_clear_weak,0.7666666666666667,0.6916666666666667,0.625,0.6566455696202531,0.07500000000000007,4956160,57409,0.07748105854261667
E10,10,3-19,713101,10,leo_low_elev_weak,0.75,0.6833333333333333,0.575,0.6245033112582781,0.06666666666666665,4956160,57409,0.029991407063789666
E10,10,3-19,713101,10,leo_rain_weak,0.6666666666666666,0.575,0.45,0.5048780487804878,0.09166666666666667,4956160,57409,0.05848598084412515
E10,10,3-19,713101,2,leo_clear_weak,0.7,0.6416666666666667,0.35,0.45294117647058824,0.05833333333333324,1351680,34113,0.011154648382216692
E10,10,3-19,713101,2,leo_low_elev_weak,0.625,0.5583333333333333,0.325,0.4108490566037736,0.06666666666666665,1351680,34113,0.009594051516614854
E10,10,3-19,713101,2,leo_rain_weak,0.625,0.49166666666666664,0.3,0.3726315789473684,0.13333333333333336,1351680,34113,0.008282254566438496
E10,10,3-19,713101,20,leo_clear_weak,0.7583333333333333,0.6916666666666667,0.625,0.6566455696202531,0.06666666666666665,9461760,86529,0.03901407471857965
E10,10,3-19,713101,20,leo_low_elev_weak,0.75,0.7,0.625,0.6603773584905661,0.050000000000000044,9461760,86529,0.037593976594507694
E10,10,3-19,713101,20,leo_rain_weak,0.675,0.625,0.6,0.6122448979591836,0.050000000000000044,9461760,86529,0.037273188354447484
E10,10,3-19,713101,5,leo_clear_weak,0.7833333333333333,0.675,0.4,0.5023255813953488,0.10833333333333328,2703360,42849,0.014934400678612292
E10,10,3-19,713101,5,leo_low_elev_weak,0.6833333333333333,0.6083333333333333,0.35,0.4443478260869565,0.07500000000000007,2703360,42849,0.01216595119331032
E10,10,3-19,713101,5,leo_rain_weak,0.6666666666666666,0.5666666666666667,0.375,0.45132743362831856,0.09999999999999998,2703360,42849,0.012338111991994083
E10,10,3-19,713102,1,leo_clear_weak,0.6416666666666667,0.5416666666666666,0.4,0.4601769911504425,0.10000000000000009,901120,31201,0.008681041072122753
E10,10,3-19,713102,1,leo_low_elev_weak,0.44166666666666665,0.3,0.475,0.36774193548387096,0.14166666666666666,901120,31201,0.008027581498026848
